industry_name,total,dem,repub,year
Agribusiness,24615597,7914787,16700810,2012
Crop Production & Basic Processing,7212184,3094825,4117359,2012
Tobacco,1907759,375605,1532154,2012
Dairy,1967818,570900,1396918,2012
Poultry & Eggs,602000,166500,435500,2012
Livestock,1332141,233718,1098423,2012
Agricultural Services/Products,5427531,1466560,3960971,2012
Food Processing & Sales,4017144,1187979,2829165,2012
Forestry & Forest Products,2077270,785700,1291570,2012
Sugar cane & sugar beets,3940812,2047412,1893400,2012
"Vegetables, fruits and tree nut",996866,338017,658849,2012
Farm bureaus,705438,136076,569362,2012
Communications/Electronics,25688347,11374373,14313974,2012
Printing & Publishing,752398,321698,430700,2012
TV/Movies/Music,3178087,1534022,1644065,2012
Telephone Utilities,6378807,2431840,3946967,2012
Telecom Services,7639885,3638652,4001233,2012
Electronics Mfg & Equip,6024746,2632137,3392609,2012
Internet,1714424,816024,898400,2012
Architectural services,164750,90250,74500,2012
Construction,14741189,4166429,10574760,2012
General Contractors,4325379,930314,3395065,2012
Home Builders,1859550,459750,1399800,2012
Special Trade Contractors,1754892,565550,1189342,2012
Construction Services,3729480,1586615,2142865,2012
Building Materials & Equipment,3071888,624200,2447688,2012
"Book, newspaper & periodical publishing",517198,264198,253000,2012
Commercial TV & radio stations,1670800,805100,865700,2012
Cable & satellite TV production,17750,8750,9000,2012
Motion Picture production & distribution,314298,159422,154876,2012
Recorded Music & music production,284989,135250,149739,2012
Computer software,2131138,909400,1221738,2012
Defense,15926594,6511698,9414896,2012
Defense Aerospace,8718200,3547600,5170600,2012
Defense Electronics,5018898,2083498,2935400,2012
Misc Defense,2189496,880600,1308896,2012
Energy & Natural Resources,34101069,8487772,25613297,2012
Oil & Gas,15113879,2051769,13062110,2012
Mining,3459200,469052,2990148,2012
Electric Utilities,13170623,4931364,8239259,2012
Waste Management,249650,82000,167650,2012
Natural Gas transmission & distribution,2226828,584389,1642439,2012
Coal mining,1966718,216052,1750666,2012
Alternate energy production & services,896878,490860,406018,2012
"Finance, Insurance & Real Estate",71388722,26427035,44961687,2012
Commercial Banks,11388477,3409772,7978705,2012
Savings & Loans,50150,20500,29650,2012
Credit Unions,3009415,1421260,1588155,2012
Finance/Credit Companies,3792501,1182680,2609821,2012
Securities & Investment,11760452,4947769,6812683,2012
Insurance,22415330,8237277,14178053,2012
Real Estate,10230129,4168142,6061987,2012
