industry_name,total,dem,repub,year
Accountants,6928581,2560260,4368321,2012
Misc Finance,1813687,479375,1334312,2012
Student loan companies,167525,89175,78350,2012
Payday lenders,1132671,336700,795971,2012
Venture capital,929250,280250,649000,2012
Private Equity & Investment Firms,312000,135500,176500,2012
Hedge Funds,164000,67000,97000,2012
Mortgage bankers and brokers,834157,316750,517407,2012
Food and kindred products manufacturing,1614660,469500,1145160,2012
Meat processing & products,690562,172251,518311,2012
Food stores,1330322,449328,880994,2012
Restaurants & drinking establishments,4581765,702800,3878965,2012
Advertising & public relations services,68500,42500,26000,2012
Funeral services,196100,58000,138100,2012
"Professional sports, arenas & related equip & svcs",997250,487250,510000,2012
Indian Gaming,69740,42240,27500,2012
Correctional facilities constr & mgmt/for-profit,240021,53000,187021,2012
Health,56691501,24256807,32434694,2012
Health Professionals,26376941,11298089,15078852,2012
Hospitals/Nursing Homes,6913022,3053179,3859843,2012
Health Services/HMOs,7466431,2992770,4473661,2012
Pharmaceuticals/Health Products,15777007,6831669,8945338,2012
Dentists,2779149,1066500,1712649,2012
Chiropractors,296475,172375,124100,2012
Nurses,1371350,894850,476500,2012
Medical Devices & Supplies,2973935,1259318,1714617,2012
Pharmaceutical manufacturing,8860839,3922759,4938080,2012
Nutritional & dietary supplements,218212,97243,120969,2012
For-profit Education,992793,338201,654592,2012
Democratic leadership PAC,17354751,17334051,20700,2012
Republican leadership PAC,25023817,10000,25013817,2012
LGBTQIA Rights & Issues,913718,849840,63878,2012
Lawyers & Lobbyists,15484715,8802072,6682643,2012
Lawyers/Law Firms,14430950,8214710,6216240,2012
Lobbyists,1053765,587362,466403,2012
Teachers unions,3947144,3863144,84000,2012
US Postal Service unions & associations,5657577,5210837,446740,2012
Air transport unions,3575420,2395920,1179500,2012
Transportation,22820744,7518284,15302460,2012
Air Transport,7246200,2525047,4721153,2012
Automotive,6155153,1702178,4452975,2012
Trucking,1789650,486250,1303400,2012
Railroads,5352613,1904673,3447940,2012
Sea Transport,1761378,756136,1005242,2012
Clothing & accessories,35000,13000,22000,2012
Misc Business,42584108,14347076,28237032,2012
Business Associations,2024148,288130,1736018,2012
Food & Beverage,6058815,1268800,4790015,2012
"Beer, Wine & Liquor",6772295,2835389,3936906,2012
Retail Sales,6515634,2262499,4253135,2012
Misc Services,989198,308598,680600,2012
Business Services,1973407,834750,1138657,2012
Recreation/Live Entertainment,1218187,587250,630937,2012
Casinos/Gambling,1223472,527517,695955,2012
Lodging/Tourism,1514850,608450,906400,2012
Chemical & Related Manufacturing,3812112,1131180,2680932,2012
Steel Production,732377,201600,530777,2012
Misc Manufacturing & Distributing,8795171,3235205,5559966,2012
Textiles,206908,89708,117200,2012
Labor,60109214,54460344,5648870,2012
Building Trade Unions,15346523,13458993,1887530,2012
Industrial Unions,10985024,10810574,174450,2012
Transportation Unions,11385460,9069610,2315850,2012
Public Sector Unions,16357535,15243395,1114140,2012
Misc Unions,6034672,5877772,156900,2012
Ideological/Single-Issue,66273168,29899855,36373313,2012
Republican/Conservative,5071282,18450,5052832,2012
Democratic/Liberal,3168831,3157791,11040,2012
Leadership PACs,44406426,17731513,26674913,2012
Foreign & Defense Policy,704329,461979,242350,2012
Pro-Israel,2948189,1741102,1207087,2012
Women's Issues,1141826,894810,247016,2012
Human Rights,2356438,1967783,388655,2012
Environment,1216978,1088922,128056,2012
Gun Control,4018,4018,0,2012
Gun Rights,1543497,164968,1378529,2012
Abortion Policy/Anti-Abortion,430923,5500,425423,2012
Abortion Policy/Pro-Abortion Rights,1616348,1552261,64087,2012
Airlines,1556107,574467,981640,2012
Auto manufacturers,1070920,464420,606500,2012
"Auto dealers, new & used",3151000,870500,2280500,2012
"Auto dealers, foreign imports",1115000,71000,1044000,2012
Cruise ships & lines,188500,91000,97500,2012
Other,2050252,950315,1099937,2012
Non-Profit Institutions,755345,399250,356095,2012
Education,1043507,370915,672592,2012
Unknown,95533,37664,57869,2012
