industry_name,total,dem,repub,year
Agribusiness,27364074,9953816,17410258,2020
Crop Production & Basic Processing,9794639,4296598,5498041,2020
Tobacco,1541814,375264,1166550,2020
Dairy,1116500,511250,605250,2020
Poultry & Eggs,839250,240250,599000,2020
Livestock,1609900,351050,1258850,2020
Agricultural Services/Products,6592832,2113324,4479508,2020
Food Processing & Sales,3457088,1165080,2292008,2020
Forestry & Forest Products,2031651,695700,1335951,2020
Sugar cane & sugar beets,6090400,3084100,3006300,2020
"Vegetables, fruits and tree nut",637797,293898,343899,2020
Farm bureaus,958682,219674,739008,2020
Communications/Electronics,27599461,13589481,14009980,2020
Printing & Publishing,443250,182700,260550,2020
TV/Movies/Music,3422530,1862960,1559570,2020
Telephone Utilities,5224699,2427699,2797000,2020
Telecom Services,8595700,4121900,4473800,2020
Electronics Mfg & Equip,6403025,3237065,3165960,2020
Internet,3510257,1757157,1753100,2020
Architectural services,253250,125500,127750,2020
Construction,16265154,5574912,10690242,2020
General Contractors,2674844,518270,2156574,2020
Home Builders,2355500,645500,1710000,2020
Special Trade Contractors,2481243,1029743,1451500,2020
Construction Services,4264817,2037899,2226918,2020
Building Materials & Equipment,4488750,1343500,3145250,2020
"Book, newspaper & periodical publishing",319000,151200,167800,2020
Commercial TV & radio stations,2405870,1254750,1151120,2020
Cable & satellite TV production,13000,7000,6000,2020
Motion Picture production & distribution,166500,107500,59000,2020
Recorded Music & music production,443400,248050,195350,2020
Computer software,1417675,683565,734110,2020
Defense,14410000,6592300,7817700,2020
Defense Aerospace,4733050,2149100,2583950,2020
Defense Electronics,4365700,2078000,2287700,2020
Misc Defense,5311250,2365200,2946050,2020
Energy & Natural Resources,29224684,8805255,20419429,2020
Oil & Gas,12867530,2300999,10566531,2020
Mining,1429399,198000,1231399,2020
Electric Utilities,12455256,5080806,7374450,2020
Waste Management,169850,57500,112350,2020
Natural Gas transmission & distribution,2162350,617300,1545050,2020
Coal mining,661249,11500,649749,2020
Alternate energy production & services,1379899,777250,602649,2020
"Finance, Insurance & Real Estate",85766177,38696922,47069255,2020
