industry_name,total,dem,repub,year
Agribusiness,27917690,8909912,19007778,2018
Crop Production & Basic Processing,9969077,3928909,6040168,2018
Tobacco,1692699,333984,1358715,2018
Dairy,1374026,490275,883751,2018
Poultry & Eggs,762850,214300,548550,2018
Livestock,1439714,244226,1195488,2018
Agricultural Services/Products,6417446,1820726,4596720,2018
Food Processing & Sales,3402902,997342,2405560,2018
Forestry & Forest Products,2614900,780050,1834850,2018
Sugar cane & sugar beets,5595617,2685250,2910367,2018
"Vegetables, fruits and tree nut",1033556,357556,676000,2018
Farm bureaus,734442,107605,626837,2018
Communications/Electronics,28375468,12825299,15550169,2018
Printing & Publishing,437669,206000,231669,2018
TV/Movies/Music,3663313,1809354,1853959,2018
Telephone Utilities,5660582,2253000,3407582,2018
Telecom Services,8645800,3782400,4863400,2018
Electronics Mfg & Equip,6420828,3078219,3342609,2018
Internet,3547276,1696326,1850950,2018
Architectural services,154500,74000,80500,2018
Construction,16451917,4484748,11967169,2018
General Contractors,2976069,427419,2548650,2018
Home Builders,2473850,457500,2016350,2018
Special Trade Contractors,2033300,689800,1343500,2018
Construction Services,4700622,1921428,2779194,2018
Building Materials & Equipment,4268076,988601,3279475,2018
"Book, newspaper & periodical publishing",298169,148000,150169,2018
Commercial TV & radio stations,1999281,915701,1083580,2018
Cable & satellite TV production,337875,167775,170100,2018
Motion Picture production & distribution,265500,144500,121000,2018
Recorded Music & music production,368778,197978,170800,2018
Computer software,1494757,716148,778609,2018
Defense,18047318,7228090,10819228,2018
Defense Aerospace,9585339,3921740,5663599,2018
Defense Electronics,4461748,1743500,2718248,2018
Misc Defense,4000231,1562850,2437381,2018
Energy & Natural Resources,31435897,7849434,23586463,2018
Oil & Gas,13509273,1855900,11653373,2018
Mining,1752701,209000,1543701,2018
Electric Utilities,13501469,4738764,8762705,2018
Waste Management,191416,66000,125416,2018
Natural Gas transmission & distribution,2126550,481750,1644800,2018
Coal mining,859550,56500,803050,2018
Alternate energy production & services,1434273,634052,800221,2018
"Finance, Insurance & Real Estate",88922855,35269557,53653298,2018
Commercial Banks,13788665,4213679,9574986,2018
Savings & Loans,96050,33900,62150,2018
Credit Unions,3132500,1476600,1655900,2018
Finance/Credit Companies,4605331,1769531,2835800,2018
Securities & Investment,14834675,6307217,8527458,2018
Insurance,28404926,11260605,17144321,2018
Real Estate,12064160,5251987,6812173,2018
Accountants,9197748,4003638,5194110,2018
Misc Finance,2798800,952400,1846400,2018
Student loan companies,383750,165750,218000,2018
Payday lenders,707850,187200,520650,2018
Venture capital,505700,223700,282000,2018
Private Equity & Investment Firms,678674,291424,387250,2018
Hedge Funds,176500,63000,113500,2018
Mortgage bankers and brokers,2017160,812900,1204260,2018
Food and kindred products manufacturing,1257515,359509,898006,2018
Meat processing & products,460381,90386,369995,2018
Food stores,1046423,344247,702176,2018
Marijuana,101500,67500,34000,2018
Restaurants & drinking establishments,2952150,507000,2445150,2018
Advertising & public relations services,29500,4000,25500,2018
Funeral services,140050,47100,92950,2018
"Professional sports, arenas & related equip & svcs",851537,451200,400337,2018
Indian Gaming,114000,61100,52900,2018
Correctional facilities constr & mgmt/for-profit,518650,80500,438150,2018
Health,54467375,24037054,30430321,2018
Health Professionals,24769426,10949985,13819441,2018
Hospitals/Nursing Homes,5155210,2615261,2539949,2018
Health Services/HMOs,7116768,3017841,4098927,2018
Pharmaceuticals/Health Products,17142672,7348867,9793805,2018
Dentists,2702250,963500,1738750,2018
Chiropractors,196600,82600,114000,2018
Nurses,1527110,867000,660110,2018
Medical Devices & Supplies,2491921,901202,1590719,2018
Pharmaceutical manufacturing,8768175,3861129,4907046,2018
Nutritional & dietary supplements,322476,153686,168790,2018
For-profit Education,403100,66600,336500,2018
Democratic leadership PAC,26853382,26834682,18700,2018
Republican leadership PAC,37122136,26500,37095636,2018
LGBTQIA Rights & Issues,1404795,1399295,5500,2018
