industry_name,total,dem,repub,year
Lawyers & Lobbyists,13740233,7446902,6293331,2018
Lawyers/Law Firms,13152485,7170790,5981695,2018
Lobbyists,587748,276112,311636,2018
Teachers unions,3932319,3826319,106000,2018
US Postal Service unions & associations,3859500,3057000,802500,2018
Air transport unions,6122250,3482750,2639500,2018
Transportation,27651271,9340684,18310587,2018
Air Transport,9328378,3295265,6033113,2018
Automotive,8749860,2675049,6074811,2018
Trucking,1740650,469450,1271200,2018
Railroads,5349237,2078624,3270613,2018
Sea Transport,1644086,577486,1066600,2018
Clothing & accessories,70900,27000,43900,2018
Misc Business,42305931,15605646,26700285,2018
Business Associations,2241792,450121,1791671,2018
Food & Beverage,4855376,1174879,3680497,2018
"Beer, Wine & Liquor",6082302,2917724,3164578,2018
Retail Sales,7608881,2801250,4807631,2018
Misc Services,914800,238850,675950,2018
Business Services,994925,367400,627525,2018
Recreation/Live Entertainment,1013487,493200,520287,2018
Casinos/Gambling,1178700,572850,605850,2018
Lodging/Tourism,2715650,1235900,1479750,2018
Marijuana,101500,67500,34000,2018
Chemical & Related Manufacturing,3913937,1271725,2642212,2018
Steel Production,773950,227350,546600,2018
Misc Manufacturing & Distributing,8619781,3526697,5093084,2018
Textiles,185000,56500,128500,2018
Labor,58352094,49641109,8710985,2018
Building Trade Unions,14426648,12356923,2069725,2018
Industrial Unions,9716762,9243762,473000,2018
Transportation Unions,13663199,9719034,3944165,2018
Public Sector Unions,15411212,13374817,2036395,2018
Misc Unions,5134273,4946573,187700,2018
Ideological/Single-Issue,94297344,46012714,48284630,2018
Republican/Conservative,4030794,18846,4011948,2018
Democratic/Liberal,4845064,4840754,4310,2018
Leadership PACs,66588932,28137182,38451750,2018
Foreign & Defense Policy,887391,605941,281450,2018
Pro-Israel,2819955,1521655,1298300,2018
Women's Issues,2397920,1657989,739931,2018
Human Rights,3961427,3571781,389646,2018
Environment,1515858,1469708,46150,2018
Gun Control,468992,450492,18500,2018
Gun Rights,1748940,73850,1675090,2018
Abortion Policy/Anti-Abortion,462008,10700,451308,2018
Abortion Policy/Pro-Abortion Rights,1063772,1063772,0,2018
Airlines,2869081,1222434,1646647,2018
Auto manufacturers,3263131,1413274,1849857,2018
"Auto dealers, new & used",2874985,641385,2233600,2018
"Auto dealers, foreign imports",1209300,107000,1102300,2018
Cruise ships & lines,138100,27000,111100,2018
Other,1382286,534391,847895,2018
Non-Profit Institutions,842800,365700,477100,2018
Education,466316,111316,355000,2018
Clergy & Religious Organizations,24750,24750,0,2018
Unknown,29810,13850,15960,2018
