"","industry_name","adj_r_2","(Intercept).Estimate","(Intercept).Std. Error","(Intercept).t value","(Intercept).Pr(>|t|)","curr_ind.Estimate","curr_ind.Std. Error","curr_ind.t value","curr_ind.Pr(>|t|)"
"1","Lobbyists",0.650014119670115,0.290229301619764,0.0460563084078608,6.3016188585846,0.000140713226786439,0.408966181083451,0.0924407251965023,4.42409100766038,0.00166131055146628
"2","Savings & Loans",0.573655206647694,0.36332611888937,0.0346784152874342,10.4770104365473,2.42465636807221e-06,0.284397247575366,0.0748020363576539,3.80199873457411,0.00420444183282098
"3","Business Services",0.558813394858956,0.3551290919892,0.0377947552064628,9.39625326448665,5.99376810280907e-06,0.363294081472494,0.0982732445625091,3.69677507942064,0.00494520001550597
"4","Telecom Services",0.523530148554742,0.246383285557718,0.0712465619963003,3.45817789173479,0.00718142291657652,0.528913637639418,0.152762610664814,3.46232389809009,0.00713460559401444
"5","Forestry & Forest Products",0.493711692469511,0.399998342467143,0.0293098707603543,13.6472230033916,2.55623480958348e-07,0.304458230665279,0.0928520154141455,3.27896200537287,0.00954507970640235
"6","Textiles",0.482040763218783,0.390245858624656,0.0328009977028473,11.8973777005198,8.28405443764759e-07,0.267725626176867,0.0833937543200295,3.21037982232399,0.0106524337027288
"7","Republican leadership PAC",0.441658936315881,0.471173271627193,0.0118979091130825,39.6013507204478,2.0764125825957e-11,16.4267310845407,5.50310027654627,2.98499577675334,0.0153248370600903
"8","Sea Transport",0.439799962804742,0.333122811458673,0.0539913918290765,6.16992450413685,0.00016471608453778,0.353445365605704,0.118804215903888,2.9750237642378,0.015574876158709
"9","Electric Utilities",0.407943525267788,0.33378315588877,0.0568965293381044,5.86649413895322,0.000238803659843404,0.40465034236563,0.144056774863359,2.808964331941,0.0204115507115682
"10","Cruise ships & lines",0.378320458031944,0.39699142088343,0.0368316905764249,10.7785283453031,1.91074203444041e-06,0.185694594892653,0.0697614191213474,2.66185231366415,0.0259668504028215
"11","Medical Devices & Supplies",0.372094973441207,0.359380723622526,0.0511081565433395,7.03176846767643,6.10712881884511e-05,0.31771940425822,0.120726682752749,2.6317247936723,0.0272813956389273
"12","Lawyers & Lobbyists",0.361100438240356,0.215763466348786,0.107251176075699,2.0117585115943,0.0751146090819424,0.476132720757983,0.184609806048964,2.57913017162099,0.0297390241780181
"13","Chiropractors",0.356012603680185,0.382292581683923,0.0438588248509585,8.71643467382067,1.10857263310834e-05,0.216867863348095,0.0848782998435748,2.55504485537255,0.0309376155095147
"14","Republican/Conservative",0.352992021328705,0.452262674724744,0.0185905126911751,24.3276063569475,1.60383348557282e-09,7.10341170472166,2.79571759767518,2.54081875459403,0.0316682116998081
"15","Student loan companies",0.351596568761004,0.296288392390094,0.0775775809450135,3.8192527890255,0.00409460388887692,0.429736429639475,0.169570466458626,2.53426459580052,0.0320106007904098
"16","Correctional facilities constr & mgmt/for-profit",0.349770185098114,0.429508891163502,0.0265843546091447,16.1564535787435,5.90905028907093e-08,0.220556572349929,0.0873248095021026,2.52570344679216,0.0324634250918802
