"","country_name","adj_r_2","(Intercept).Estimate","(Intercept).Std. Error","(Intercept).t value","(Intercept).Pr(>|t|)","curr_cty.Estimate","curr_cty.Std. Error","curr_cty.t value","curr_cty.Pr(>|t|)"
"1","UK",0.493066043146074,0.302663747780282,0.0582789838951233,5.19336006826997,0.000569084853223862,0.484434007998716,0.14791319255445,3.27512373732577,0.00960377760516109
"2","France",0.350191033926528,0.344370195504028,0.0589917429123059,5.83759995048716,0.0002475575480847,0.33491647707627,0.13249984562277,2.52767447012569,0.0323586068771944
"3","Denmark",0.263105786015238,0.407734878838826,0.0405789335376587,10.0479446671617,3.43853070207129e-06,0.200726819073872,0.0938912290737755,2.1378654966392,0.0612334276086945
"4","Switzerland",0.2557585093339,0.297852100852486,0.0924216292064623,3.22275319543555,0.0104432057980784,0.453710314196439,0.215406329856607,2.10629982182263,0.0644558272555751
"5","Germany",0.25390016923684,0.362462610107251,0.0623258224891865,5.81560893432474,0.000254453504385707,0.320121520653275,0.152559390223158,2.09834032624942,0.0652938953962651
"6","Singapore",0.233260406635642,0.459609624141083,0.0194402008717464,23.6422260846626,2.06677586724598e-09,0.104018833656387,0.0517369780271591,2.01053168590137,0.0752634509165831
"7","Ireland",0.186986449374473,0.414202581493073,0.0439388366641788,9.42679899922686,5.83551667364705e-06,0.209364537775616,0.115252816954439,1.81656764067104,0.102660565694422
"8","Netherlands",0.176463241495846,0.385196499877951,0.0608926557073143,6.32582854867474,0.000136730172215261,0.28123447899504,0.158640374995164,1.77277996855223,0.110022955375565
"9","Australia",0.134457029423967,0.440260223652381,0.034066293969796,12.9236313184735,4.08440862224456e-07,0.10504087162096,0.0657348033543831,1.5979491268069,0.144518709103054
"10","Italy",0.0918624999105747,0.441582534587358,0.0370682180765552,11.9126992744938,8.19380968272492e-07,0.16883640952687,0.119042179292773,1.41829064731445,0.189790042845056
"11","Belgium",0.0492384413525532,0.437967201960931,0.0449566184768996,9.74199610199721,4.44602690236534e-06,0.13341745469769,0.108291240135696,1.23202444196327,0.249156755765324
"12","Canada",0.0447620117999963,0.398284402188418,0.0776168763568553,5.13141498193312,0.000618398014925513,0.214779336633462,0.177231705340898,1.21185617562243,0.256422162376882
"13","Sweden",0.00852415494530256,0.464745843458401,0.0284468569581271,16.3373354090574,5.36174371876936e-08,0.105761613311082,0.101488835993567,1.04210095894474,0.324548027891355
"14","Japan",-0.0641748681898557,0.428955635237395,0.0994710503193823,4.31236660174092,0.00195490049217146,0.138493421559773,0.219816469264044,0.630041152164146,0.544329758685724
