country,dems_sum,repubs_sum,total_sum,year
Australia,39285,92200,131485,2016
Belgium,261500,404674,666174,2016
Brazil,27500,105200,132700,2016
Canada,466000,790480,1256480,2016
China,35650,58000,93650,2016
Denmark,232352,337499,570851,2016
Finland,9500,24700,34200,2016
France,536239,982675,1522914,2016
Germany,1041230,1889186,2933416,2016
Ireland,642630,1325896,1968526,2016
Israel,89500,149250,238750,2016
Italy,115000,238450,353450,2016
Japan,913250,1305725,2219975,2016
Luxembourg,54500,91000,145500,2016
Mexico,103500,324750,428250,2016
Netherlands,408281,917850,1326131,2016
Norway,4250,5000,9250,2016
Portugal,5000,4500,10500,2016
Singapore,0,4500,4500,2016
South Korea,0,0,0,2016
Spain,116200,243625,362325,2016
Sweden,35750,151750,187500,2016
Switzerland,1637808,2370600,4009408,2016
UK,1888931,3299098,5191529,2016
