pac_name,affiliate,total,dem,repub,lean,year
Every Republican is Crucial PAC,Eric Cantor (R-Va),2086000,0,2086000,Solidly Republican/Conservative,2012
Freedom Project,John Boehner (R-Ohio),1725000,0,1725000,Solidly Republican/Conservative,2012
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),1308500,1308500,0,Solidly Democrat/Liberal,2012
Majority Cmte PAC,Kevin McCarthy (R-Calif),1211921,0,1211921,Solidly Republican/Conservative,2012
BRIDGE PAC,James E. Clyburn (D-SC),967000,967000,0,Solidly Democrat/Liberal,2012
Prosperity PAC,Paul Ryan (R-Wis),867529,0,867529,Solidly Republican/Conservative,2012
Continuing a Majority Party Action Cmte,Dave Camp (R-Mich),814718,0,814718,Solidly Republican/Conservative,2012
PAC to the Future,Nancy Pelosi (D-Calif),814500,814500,0,Solidly Democrat/Liberal,2012
"Jobs, Economy & Budget Fund",Jeb Hensarling (R-Texas),646719,0,646719,Solidly Republican/Conservative,2012
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),518000,518000,0,Solidly Democrat/Liberal,2012
TRUST PAC,Fred Upton (R-Mich),483500,0,483500,Solidly Republican/Conservative,2012
ROSKAM PAC,Peter Roskam (R-Ill),466605,0,466605,Solidly Republican/Conservative,2012
Impact (Schumer),Charles E. Schumer (D-NY),428500,428500,0,Solidly Democrat/Liberal,2012
PETE PAC,Pete Sessions (R-Texas),415500,0,415500,Solidly Republican/Conservative,2012
New Pioneers PAC,Greg Walden (R-Ore),406100,1000,405100,Solidly Republican/Conservative,2012
Bluegrass Cmte,Mitch McConnell (R-Ky),405000,0,405000,Solidly Republican/Conservative,2012
Democrats Win Seats PAC,Debbie Wasserman Schultz (D-Fla),405000,405000,0,Solidly Democrat/Liberal,2012
Searchlight Leadership Fund,Harry Reid (D-Nev),366500,366500,0,Solidly Democrat/Liberal,2012
New York Jobs PAC,Steve Israel (D-NY),368000,368000,0,Solidly Democrat/Liberal,2012
GOALPAC,Sander Levin (D-Mich),356693,356693,0,Solidly Democrat/Liberal,2012
PAC for a Change,Barbara Boxer (D-Calif),338500,338500,0,Solidly Democrat/Liberal,2012
Next Century Fund,Richard Burr (R-NC),337350,0,337350,Solidly Republican/Conservative,2012
Free & Strong America PAC,ex-Gov. Mitt Romney (R-),333500,0,333500,Solidly Republican/Conservative,2012
