pac_name,affiliate,total,dem,repub,lean,year
Puget PAC,Rick Larsen (D-Wash),63700,63700,0,Solidly Democrat/Liberal,2018
Reasonable Independent Constructive & Effective,Kathleen Rice (D-NY),63500,63500,0,Solidly Democrat/Liberal,2018
Progressive Voters of America,Bernie Sanders (I-Vt),62800,62800,0,Solidly Democrat/Liberal,2018
Wells PAC,Austin Scott (R-GA),62500,0,62500,Solidly Republican/Conservative,2018
TERRI PAC,Terri A Sewell (D-Ala),60999,60999,0,Solidly Democrat/Liberal,2018
America 2.0 PAC,Tim Ryan (D-Ohio),60950,60950,0,Solidly Democrat/Liberal,2018
Progressive Americans for Democracy,Peter DeFazio (D-Ore),60800,60800,0,Solidly Democrat/Liberal,2018
Valor PAC,Brian Mast (R-Fla),60500,0,60500,Solidly Republican/Conservative,2018
Keystone Fund,Mike Doyle (D-Pa),59500,59500,0,Solidly Democrat/Liberal,2018
Bulldog Victory PAC,David Young (R-Iowa),59200,0,59200,Solidly Republican/Conservative,2018
Sea Change Leadership PAC,Karen Bass (D-Calif),59000,59000,0,Solidly Democrat/Liberal,2018
Jam PAC,Lloyd Smucker (R-Pa),59000,0,59000,Solidly Republican/Conservative,2018
HeartDocPAC,Larry Bucshon (R-Ind),57900,0,57900,Solidly Republican/Conservative,2018
America's Future Fund PAC,Jim Renacci (R-Ohio),57600,0,57600,Solidly Republican/Conservative,2018
Make It In America PAC,John Garamendi (D-Calif),57000,57000,0,Solidly Democrat/Liberal,2018
Deciding Critical Races,David Rouzer (R-NC),56800,0,56800,Solidly Republican/Conservative,2018
Kansas Leadership PAC,Roger Marshall (R-Kan),56335,0,56335,Solidly Republican/Conservative,2018
Smart Solutions PAC,Jacky Rosen (D-Nev),56100,56100,0,Solidly Democrat/Liberal,2018
Committee for a Democratic Future,Rosa L DeLauro (D-Conn),56000,56000,0,Solidly Democrat/Liberal,2018
Fund for American Exceptionalism,Todd Rokita (R-Ind),55700,0,55700,Solidly Republican/Conservative,2018
Build Our Movement,Pramila Jayapal (D-Wash),54000,54000,0,Solidly Democrat/Liberal,2018
TEDPAC,Ted Deutch (D-Fla),54000,54000,0,Solidly Democrat/Liberal,2018
Rural America Counts PAC,Rick Crawford (R-Ark),53500,0,53500,Solidly Republican/Conservative,2018
Fostering Progress PAC,Bill Foster (D-Ill),53300,53300,0,Solidly Democrat/Liberal,2018
Love PAC,Mia Love (R-Utah),52400,0,52400,Solidly Republican/Conservative,2018
WinNovember PAC,Steve Chabot (R-Ohio),52200,0,52200,Solidly Republican/Conservative,2018
Everybody Counts Everybody Matters PAC,Keith Ellison (D-Minn),52200,52200,0,Solidly Democrat/Liberal,2018
New Energy PAC,Eric Swalwell (D-Calif),51140,51140,0,Solidly Democrat/Liberal,2018
Brave PAC,David Scott (D-Ga),51000,51000,0,Solidly Democrat/Liberal,2018
Vitoria PAC,David Valadao (R-Calif),50700,0,50700,Solidly Republican/Conservative,2018
