pac_name,affiliate,total,dem,repub,lean,year
Every Republican is Crucial PAC,Eric Cantor (R-Va),1729146,0,1729146,Solidly Republican/Conservative,2010
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),1311950,1291950,20000,Solidly Democrat/Liberal,2010
Freedom Project,John Boehner (R-Ohio),1311750,0,1311750,Solidly Republican/Conservative,2010
BRIDGE PAC,James E. Clyburn (D-SC),1171500,1151500,20000,Solidly Democrat/Liberal,2010
Senate Conservatives Fund,James W DeMint (R-SC),928318,0,928318,Solidly Republican/Conservative,2010
PAC to the Future,Nancy Pelosi (D-Calif),841500,835500,6000,Solidly Democrat/Liberal,2010
Free & Strong America PAC,ex-Gov. Mitt Romney (R-),791995,0,791995,Solidly Republican/Conservative,2010
Victory Now PAC,Chris Van Hollen (D-Md),795500,787500,8000,Solidly Democrat/Liberal,2010
Continuing a Majority Party Action Cmte,Dave Camp (R-Mich),727250,0,727250,Solidly Republican/Conservative,2010
Majority Cmte PAC,Kevin McCarthy (R-Calif),689264,0,689264,Solidly Republican/Conservative,2010
Democrats Win Seats PAC,Debbie Wasserman Schultz (D-Fla),603000,598000,5000,Solidly Democrat/Liberal,2010
Prosperity PAC,Paul Ryan (R-Wis),578500,0,578500,Solidly Republican/Conservative,2010
PETE PAC,Pete Sessions (R-Texas),567000,0,567000,Solidly Republican/Conservative,2010
Growth & Prosperity PAC,Spencer Bachus (R-Ala),506500,0,506500,Solidly Republican/Conservative,2010
SarahPAC,ex-Gov. Sarah Palin (R-Alaska),452000,0,452000,Solidly Republican/Conservative,2010
Bluegrass Cmte,Mitch McConnell (R-Ky),450590,20000,430590,Solidly Republican/Conservative,2010
Next Century Fund,Richard Burr (R-NC),382500,0,382500,Solidly Republican/Conservative,2010
Solidarity PAC,George Miller (D-Calif),386108,386108,0,Solidly Democrat/Liberal,2010
Defend America PAC,Richard C. Shelby (R-Ala),360000,25000,335000,Solidly Republican/Conservative,2010
Senate Majority Fund,Jon L. Kyl (R-Ariz),358000,0,358000,Solidly Republican/Conservative,2010
Alamo PAC,John Cornyn (R-Texas),342500,0,342500,Solidly Republican/Conservative,2010
LA PAC,Henry A. Waxman (D-Calif),359986,359986,0,Solidly Democrat/Liberal,2010
Impact (Schumer),Charles E. Schumer (D-NY),357500,357500,0,Solidly Democrat/Liberal,2010
"Jobs, Economy & Budget Fund",Jeb Hensarling (R-Texas),347500,0,347500,Solidly Republican/Conservative,2010
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),345900,341900,4000,Solidly Democrat/Liberal,2010
OrrinPAC,Orrin G. Hatch (R-Utah),339500,10000,329500,Solidly Republican/Conservative,2010
Forward Together PAC,Mark Warner (D-Va),316500,316500,0,Solidly Democrat/Liberal,2010
GOALPAC,Sander Levin (D-Mich),314000,314000,0,Solidly Democrat/Liberal,2010
Win Back America PAC,Mike Pence (R-Ind),308500,0,308500,Solidly Republican/Conservative,2010
New Millennium PAC,Robert Menendez (D-NJ),308000,308000,0,Solidly Democrat/Liberal,2010
DANPAC,Daniel K Inouye (D-Hawaii),307978,307978,0,Solidly Democrat/Liberal,2010
Synergy PAC,John B. Larson (D-Conn),302000,302000,0,Solidly Democrat/Liberal,2010
Invest in a Strong & Secure America,Darrell Issa (R-Calif),295492,0,295492,Solidly Republican/Conservative,2010
Republican Majority Fund,Saxby Chambliss (R-Ga),276000,5000,271000,Solidly Republican/Conservative,2010
Prairie PAC,Dick Durbin (D-Ill),289250,289250,0,Solidly Democrat/Liberal,2010
Tenn PAC,Lamar Alexander (R-Tenn),269500,15000,254500,Solidly Republican/Conservative,2010
Leadership of Today & Tomorrow,Xavier Becerra (D-Calif),284345,284345,0,Solidly Democrat/Liberal,2010
Country First PAC,John McCain (R-Ariz),273554,0,273554,Solidly Republican/Conservative,2010
Rock City PAC,Bob Corker (R-Tenn),262500,10000,252500,Solidly Republican/Conservative,2010
To Organize a Majority PAC,Tom Harkin (D-Iowa),267000,267000,0,Solidly Democrat/Liberal,2010
21st Century PAC,Buck McKeon (R-Calif),262500,0,262500,Solidly Republican/Conservative,2010
America Works PAC,Sherrod Brown (D-Ohio),258000,258000,0,Solidly Democrat/Liberal,2010
America's Leadership PAC,Deborah Ann Stabenow (D-Mich),254500,254500,0,Solidly Democrat/Liberal,2010
Heartland Values PAC,John Thune (R-SD),236000,0,236000,Solidly Republican/Conservative,2010
Glacier PAC,Max Baucus (D-Mont),247500,247500,0,Solidly Democrat/Liberal,2010
Searchlight Leadership Fund,Harry Reid (D-Nev),237500,237500,0,Solidly Democrat/Liberal,2010
Hawkeye PAC,Chuck Grassley (R-Iowa),225500,0,225500,Solidly Republican/Conservative,2010
Texas Freedom Fund,Joe Barton (R-Texas),234774,0,234774,Solidly Republican/Conservative,2010
New PAC,Devin Nunes (R-Calif),234500,0,234500,Solidly Republican/Conservative,2010
Tallatchee Creek Inc,Jeff Sessions (R-Ala),223500,10000,213500,Solidly Republican/Conservative,2010
DAKPAC,Kent Conrad (D-ND),232000,232000,0,Solidly Democrat/Liberal,2010
We the People PAC,Allyson Schwartz (D-Pa),230600,230600,0,Solidly Democrat/Liberal,2010
Senate Victory Fund,Thad Cochran (R-Miss),225500,0,225500,Solidly Republican/Conservative,2010
