pac_name,affiliate,total,dem,repub,lean,year
Majority Cmte PAC,Kevin McCarthy (R-Calif),2450100,100,2450000,Solidly Republican/Conservative,2020
Huck PAC,ex-Gov. Mike Huckabee (R-),1867800,0,1867800,Solidly Republican/Conservative,2020
Frontline USA,Adam Schiff (D-Calif),1712462,1707462,5000,Solidly Democrat/Liberal,2020
Eye of the Tiger PAC,Steve Scalise (R-La),1521500,0,1521500,Solidly Republican/Conservative,2020
AmeriPAC: The Fund for a Greater America,Steny H Hoyer (D-Md),1320450,1310450,10000,Solidly Democrat/Liberal,2020
PAC to the Future,Nancy Pelosi (D-Calif),1290000,1290000,0,Solidly Democrat/Liberal,2020
Jobs Education & Families First,Hakeem Jeffries (D-NY),794500,787000,7500,Solidly Democrat/Liberal,2020
BRIDGE PAC,James E Clyburn (D-SC),701000,698500,2500,Solidly Democrat/Liberal,2020
Innovation PAC,Patrick McHenry (R-NC),653500,0,653500,Solidly Republican/Conservative,2020
CherPAC,Cheri Bustos (D-Ill),583000,585500,-2500,Solidly Democrat/Liberal,2020
CMR PAC,Cathy McMorris Rodgers (R-Wash),547000,0,547000,Solidly Republican/Conservative,2020
House Conservatives Fund,Mike Johnson (R-La),505000,0,505000,Solidly Republican/Conservative,2020
Democrats Win Seats PAC,Debbie Wasserman Schultz (D-Fla),499000,499000,0,Solidly Democrat/Liberal,2020
Building Leadership & Inspiring New Enterprise,Blaine Luetkemeyer (R-Mo),486500,0,486500,Solidly Republican/Conservative,2020
Purpose PAC,Cory Booker (D-NJ),453000,450000,3000,Solidly Democrat/Liberal,2020
Off the Sidelines,Kirsten Gillibrand (D-NY),442500,442500,0,Solidly Democrat/Liberal,2020
E-PAC,Elise Stefanik (R-NY),450000,0,450000,Solidly Republican/Conservative,2020
Making America Prosperous,Kevin Brady (R-Texas),430000,0,430000,Solidly Republican/Conservative,2020
Shore PAC,Frank Pallone Jr. (D-NJ),410500,410500,0,Solidly Democrat/Liberal,2020
Committee for a Democratic Future,Rosa L DeLauro (D-Conn),392500,392500,0,Solidly Democrat/Liberal,2020
"Jobs, Opportunity & New Ideas PAC",Joni Ernst (R-Iowa),395000,0,395000,Solidly Republican/Conservative,2020
COLE PAC,Tom Cole (R-Okla),390120,0,390120,Solidly Republican/Conservative,2020
America Works PAC,Sherrod Brown (D-Ohio),375500,375500,0,Solidly Democrat/Liberal,2020
Southern California Fund,Brad Sherman (D-Calif),373000,369500,3500,Solidly Democrat/Liberal,2020
Electing Majority Making Effective Republicans,Tom Emmer (R-Minn),372000,0,372000,Solidly Republican/Conservative,2020
Rely on Your Beliefs,Roy Blunt (R-Mo),370000,0,370000,Solidly Republican/Conservative,2020
Freedom Fund,Mike Crapo (R-Idaho),367500,0,367500,Solidly Republican/Conservative,2020
Republican Majority Fund,Tom Cotton (R-Ark),363063,0,363063,Solidly Republican/Conservative,2020
Madison PAC (Neal),Richard E Neal (D-Mass),361500,361500,0,Solidly Democrat/Liberal,2020
Cowboy PAC,Liz Cheney (R-Wyo),358700,0,358700,Solidly Republican/Conservative,2020
Oceans PAC,Sheldon Whitehouse (D-RI),347000,347000,0,Solidly Democrat/Liberal,2020
Progressive Majority PAC,Pete Aguilar (D-Calif),341000,341000,0,Solidly Democrat/Liberal,2020
Promoting Our Republican Team PAC,Rob Portman (R-Ohio),345000,0,345000,Solidly Republican/Conservative,2020
Free State PAC,Jerry Moran (R-Kan),333500,0,333500,Solidly Republican/Conservative,2020
Reclaim America PAC,Marco Rubio (R-Fla),328750,0,328750,Solidly Republican/Conservative,2020
New Pioneers PAC,Greg Walden (R-Ore),324000,0,324000,Solidly Republican/Conservative,2020
Citizens for Prosperity in America Today,Pat Toomey (R-Pa),319654,0,319654,Solidly Republican/Conservative,2020
BackPAC,Don Beyer (D-Va),314500,314500,0,Solidly Democrat/Liberal,2020
The US Campaign Fund,John Sarbanes (D-Md),314658,314658,0,Solidly Democrat/Liberal,2020
M-PAC,Patty Murray (D-Wash),305500,305500,0,Solidly Democrat/Liberal,2020
Great Lakes PAC,Debbie Stabenow (D-Mich),302500,302500,0,Solidly Democrat/Liberal,2020
Evergreen PAC,Suzan DelBene (D-Wash),305000,305000,0,Solidly Democrat/Liberal,2020
Heartland Values PAC,John Thune (R-SD),307500,0,307500,Solidly Republican/Conservative,2020
Follow the North Star Fund,Amy Klobuchar (D-Minn),305500,305500,0,Solidly Democrat/Liberal,2020
Fair Shot PAC,Katherine Clark (D-Mass),300500,300500,0,Solidly Democrat/Liberal,2020
Continuing America's Strength & Security,Bill Cassidy (R-La),299100,0,299100,Solidly Republican/Conservative,2020
