pac_name,affiliate,total,dem,repub,lean,year
Americans for a Republican Majority,Tom DeLay (R-Texas),1016278,0,1016278,Solidly Republican/Conservative,2004
Volunteer PAC,Bill Frist (R-Tenn),959000,0,959000,Solidly Republican/Conservative,2004
Keep Our Majority PAC,Dennis Hastert (R-Ill),841500,0,841500,Solidly Republican/Conservative,2004
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),824000,819000,5000,Solidly Democrat/Liberal,2004
Together for Our Majority,Tom Reynolds (R-NY),748000,0,748000,Solidly Republican/Conservative,2004
Freedom Project,John Boehner (R-Ohio),721399,0,721399,Solidly Republican/Conservative,2004
CARE PAC,Ralph Regula (R-Ohio),688000,0,688000,Solidly Republican/Conservative,2004
Help America's Leaders,Hal Rogers (R-Ky),672000,2000,670000,Solidly Republican/Conservative,2004
Rely on Your Beliefs,Roy Blunt (R-Mo),653936,0,653936,Solidly Republican/Conservative,2004
PAC to the Future,Nancy Pelosi (D-Calif),617500,607500,10000,Solidly Democrat/Liberal,2004
America's Majority Trust,Rob Portman (R-Ohio),606000,0,606000,Solidly Republican/Conservative,2004
Committee for the Preservation of Capitalism,Jim McCrery (R-La),573500,0,573500,Solidly Republican/Conservative,2004
Bluegrass Cmte,Mitch McConnell (R-Ky),568099,0,568099,Solidly Republican/Conservative,2004
Every Republican is Crucial PAC,Eric Cantor (R-Va),517292,0,517292,Solidly Republican/Conservative,2004
Promoting Republicans You Can Elect,Deborah Pryce (R-Ohio),505940,0,505940,Solidly Republican/Conservative,2004
Leadership PAC 2004,Michael G Oxley (R-Ohio),497342,0,497342,Solidly Republican/Conservative,2004
Congressional Majority Cmte,Bill Thomas (R-Calif),488500,0,488500,Solidly Republican/Conservative,2004
Future Leaders PAC,Jerry Lewis (R-Calif),417000,0,417000,Solidly Republican/Conservative,2004
New Millennium PAC,Robert Menendez (D-NJ),394000,389000,5000,Solidly Democrat/Liberal,2004
DASHPAC,Tom Daschle (D-SD),369500,369500,0,Solidly Democrat/Liberal,2004
Our Common Values PAC,Rahm Emanuel (D-Ill),368000,364000,4000,Solidly Democrat/Liberal,2004
National Leadership PAC,Charles B. Rangel (D-NY),363000,363000,0,Solidly Democrat/Liberal,2004
21st Century PAC,Buck McKeon (R-Calif),361297,0,361297,Solidly Republican/Conservative,2004
American Success PAC,David Dreier (R-Calif),357005,500,356505,Solidly Republican/Conservative,2004
Democracy for America,ex-Gov. Howard Dean (D-Vt),350942,350942,0,Solidly Democrat/Liberal,2004
Texas Freedom Fund,Joe Barton (R-Texas),317256,0,317256,Solidly Republican/Conservative,2004
HILLPAC,Hillary Clinton (D-NY),312500,312500,0,Solidly Democrat/Liberal,2004
Majority Initiative-Keep Electing Repubs,Mike Rogers (R-Mich),304750,0,304750,Solidly Republican/Conservative,2004
Defend America PAC,Richard C. Shelby (R-Ala),286500,0,286500,Solidly Republican/Conservative,2004
Federal Victory Fund,Tom Davis (R-Va),282000,0,282000,Solidly Republican/Conservative,2004
Senate Victory Fund,Thad Cochran (R-Miss),258000,0,258000,Solidly Republican/Conservative,2004
