pac_name,affiliate,total,dem,repub,lean,year
Americans for a Republican Majority,Tom DeLay (R-Texas),849641,0,849641,Solidly Republican/Conservative,2000
PAC to the Future,Nancy Pelosi (D-Calif),827650,827650,0,Solidly Democrat/Liberal,2000
Keep Our Majority PAC,Dennis Hastert (R-Ill),757505,0,757505,Solidly Republican/Conservative,2000
Majority Leader's Fund,Dick Armey (R-Texas),751096,0,751096,Solidly Republican/Conservative,2000
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),643500,643500,0,Solidly Democrat/Liberal,2000
Freedom Project,John Boehner (R-Ohio),542432,0,542432,Solidly Republican/Conservative,2000
American Success PAC,David Dreier (R-Calif),519049,0,519049,Solidly Republican/Conservative,2000
Effective Government Cmte,Richard A Gephardt (D-Mo),487500,482500,5000,Solidly Democrat/Liberal,2000
Republican Majority Fund,Don Nickles (R-Okla),477087,0,477087,Solidly Republican/Conservative,2000
DASHPAC,Tom Daschle (D-SD),453100,453100,0,Solidly Democrat/Liberal,2000
New Republican Majority Fund,Trent Lott (R-Miss),413961,0,413961,Solidly Republican/Conservative,2000
National Leadership PAC,Charles B. Rangel (D-NY),405875,395875,10000,Solidly Democrat/Liberal,2000
LA PAC,Henry A. Waxman (D-Calif),346000,346000,0,Solidly Democrat/Liberal,2000
Committee for the Preservation of Capitalism,Jim McCrery (R-La),341500,0,341500,Solidly Republican/Conservative,2000
Bayou Leader PAC,Billy Tauzin (R-La),301377,0,301377,Solidly Republican/Conservative,2000
PAC for a Change,Barbara Boxer (D-Calif),299560,297560,2000,Solidly Democrat/Liberal,2000
Future Leaders PAC,Jerry Lewis (R-Calif),260000,2500,257500,Solidly Republican/Conservative,2000
Americans for Responsible Leadership,Evan Bayh (D-Ind),248605,248605,0,Solidly Democrat/Liberal,2000
Sandhills PAC,Chuck Hagel (R-Neb),242500,0,242500,Solidly Republican/Conservative,2000
Leadership PAC 2000,Michael G Oxley (R-Ohio),239500,0,239500,Solidly Republican/Conservative,2000
Northern Lights PAC,Ted Stevens (R-Alaska),215794,0,215794,Solidly Republican/Conservative,2000
Re-Elect Freshmen of the Republican Majority,Jerry Weller (R-Ill),212250,2000,210250,Solidly Republican/Conservative,2000
Fund for a Free Market America,Phil Crane (R-Ill),209000,0,209000,Solidly Republican/Conservative,2000
Rely on Your Beliefs,Roy Blunt (R-Mo),205577,-3500,209077,Solidly Republican/Conservative,2000
Conservative Victory Fund,ex-Rep. Steven D Symms (R-Idaho),199607,417,199190,Solidly Republican/Conservative,2000
Federal Victory Fund,Tom Davis (R-Va),200500,4000,196500,Solidly Republican/Conservative,2000
Evergreen Fund,David E Bonior (D-Mich),199720,198720,1000,Solidly Democrat/Liberal,2000
American Renewal PAC,J C Watts Jr (R-Okla),194341,0,194341,Solidly Republican/Conservative,2000
Pioneer PAC,Dave Hobson (R-Ohio),186810,0,186810,Solidly Republican/Conservative,2000
New Millennium PAC,Robert Menendez (D-NJ),185828,183828,2000,Solidly Democrat/Liberal,2000
Congressional Majority Cmte,Bill Thomas (R-Calif),185000,0,185000,Solidly Republican/Conservative,2000
Defend America PAC,Richard C. Shelby (R-Ala),170000,0,170000,Solidly Republican/Conservative,2000
Fund for American Opportunity,Spencer Abraham (R-Mich),147500,0,147500,Solidly Republican/Conservative,2000
Committee for a Livable Future,Earl Blumenauer (D-Ore),145500,145500,0,Solidly Democrat/Liberal,2000
Bluegrass Cmte,Mitch McConnell (R-Ky),142500,0,142500,Solidly Republican/Conservative,2000
Searchlight Leadership Fund,Harry Reid (D-Nev),137954,137954,0,Solidly Democrat/Liberal,2000
Lone Star Fund,Martin Frost (D-Texas),135250,135250,0,Solidly Democrat/Liberal,2000
Senate Victory Fund,Thad Cochran (R-Miss),132000,0,132000,Solidly Republican/Conservative,2000
Committee for a Progressive Congress,David R Obey (D-Wis),131000,131000,0,Solidly Democrat/Liberal,2000
Fight-PAC,Rick Santorum (R-Pa),131000,0,131000,Solidly Republican/Conservative,2000
District 20 Florida Federal PAC,Peter Deutsch (D-Fla),131000,129000,2000,Solidly Democrat/Liberal,2000
Texas Freedom Fund,Joe Barton (R-Texas),130500,0,130500,Solidly Republican/Conservative,2000
Wisconsin Leadership PAC,F James Sensenbrenner Jr. (R-Wis),120689,0,120689,Solidly Republican/Conservative,2000
Alliance for the West,Larry Craig (R-Idaho),112286,0,112286,Solidly Republican/Conservative,2000
Fund for a Responsible Future,Thomas J Bliley Jr (R-Va),100000,0,100000,Solidly Republican/Conservative,2000
Live Free or Die,Bob Smith (R-NH),99450,0,99450,Solidly Republican/Conservative,2000
Good Government for America,ex-Sen. Paul Coverdell (R-Ga),99554,0,99554,Solidly Republican/Conservative,2000
New American Century,Deborah Pryce (R-Ohio),97290,0,97290,Solidly Republican/Conservative,2000
Rhode Island PAC,Patrick J. Kennedy (D-RI),91500,91500,0,Solidly Democrat/Liberal,2000
Volunteer PAC,Bill Frist (R-Tenn),91000,2000,89000,Solidly Republican/Conservative,2000
TEAM PAC,J D Hayworth (R-Ariz),78500,0,78500,Solidly Republican/Conservative,2000
Friends of Bob Livingston PAC,ex-Rep. Robert L Livingston (R-La),78185,500,77685,Solidly Republican/Conservative,2000
Solutions America,Mayor Rudolph W Giuliani (R-NY),76991,0,76991,Solidly Republican/Conservative,2000
Northwest Leadership PAC,Slade Gorton (R-Wash),76000,0,76000,Solidly Republican/Conservative,2000
Mainstream America PAC,John Breaux (D-La),75800,73800,2000,Solidly Democrat/Liberal,2000
Washington Fund,Jennifer Dunn (R-Wa),75500,0,75500,Solidly Republican/Conservative,2000
Restore America PAC,Sam Brownback (R-Kan),74000,0,74000,Solidly Republican/Conservative,2000
Changing Tide Cmte,Wayne Allard (R-Colo),72500,0,72500,Solidly Republican/Conservative,2000
Common Sense Leadership Fund,Saxby Chambliss (R-Ga),70000,0,70000,Solidly Republican/Conservative,2000
Committee for a United Republican Team,Curt Weldon (R-Pa),69200,0,69200,Solidly Republican/Conservative,2000
Americans for Law & Liberty,Asa Hutchinson (R-Ark),67000,0,67000,Solidly Republican/Conservative,2000
Renew America PAC,ex-Sen. Alfonse M D'Amato (R-NY),66000,5000,61000,Solidly Republican/Conservative,2000
ZackPAC,Robert Wexler (D-Fla),65750,65750,0,Solidly Democrat/Liberal,2000
America Works PAC,Sherrod Brown (D-Ohio),64000,64000,0,Solidly Democrat/Liberal,2000
Continuing a Majority Party Action Cmte,Dave Camp (R-Mich),62500,0,62500,Solidly Republican/Conservative,2000
Independent Action,Tom Harkin (D-Iowa),62233,62233,0,Solidly Democrat/Liberal,2000
Victory PAC,C. W. Bill Young (R-Fla),62000,0,62000,Solidly Republican/Conservative,2000
Next Century Fund,Richard Burr (R-NC),61000,1000,60000,Solidly Republican/Conservative,2000
West PAC,George Radanovich (R-Calif),59500,0,59500,Solidly Republican/Conservative,2000
Governor Engler Leadership Fund,Gov. John M. Engler (R-Mich),55500,0,55500,Solidly Republican/Conservative,2000
Prairie PAC,Dick Durbin (D-Ill),52800,52800,0,Solidly Democrat/Liberal,2000
Building Our Bases (BOBS) PAC,ex-Rep. Robert L Livingston (R-La),51547,2000,49547,Solidly Republican/Conservative,2000
TRUST PAC,Fred Upton (R-Mich),51500,0,51500,Solidly Republican/Conservative,2000
American Prosperity PAC,Randy (Duke) Cunningham (R-Calif),51307,0,51307,Solidly Republican/Conservative,2000
Impact (Schumer),Charles E. Schumer (D-NY),51000,51000,0,Solidly Democrat/Liberal,2000
California 2000,Buck McKeon (R-Calif),51000,0,51000,Solidly Republican/Conservative,2000
Vision for America,Tillie Fowler (R-Fla),50459,0,50459,Solidly Republican/Conservative,2000
Midnight Sun,Don Young (R-Alaska),48398,0,48398,Solidly Republican/Conservative,2000
Adam Smith PAC,Connie Mack (R-Fla),47500,0,47500,Solidly Republican/Conservative,2000
Hispanic Unity USA,Loretta Sanchez (D-CA),44000,43000,1000,Solidly Democrat/Liberal,2000
Campaign for America's Future,Orrin G. Hatch (R-Utah),42000,0,42000,Solidly Republican/Conservative,2000
Sacramento Valley Leadership Fund,Doug Ose (R-Calif),41000,0,41000,Solidly Republican/Conservative,2000
Leadership 21,John Tanner (D-Tenn),40750,40750,0,Solidly Democrat/Liberal,2000
BACKPAC:Bldg America's Conscience & Kids,Bob Kerrey (D-Neb),40000,40000,0,Solidly Democrat/Liberal,2000
American Leadership Council,Joe Knollenberg (R-Mich),40000,0,40000,Solidly Republican/Conservative,2000
Carolyn's PAC,Carolyn B. Maloney (D-NY),39250,39250,0,Solidly Democrat/Liberal,2000
House Majority Fund,John Lewis (D-Ga),39000,39000,0,Solidly Democrat/Liberal,2000
Common Sense Common Solutions,Kay Granger (R-Texas),38000,0,38000,Solidly Republican/Conservative,2000
Committee for a Democratic Majority,Edward M. Kennedy (D-Mass),36504,36504,0,Solidly Democrat/Liberal,2000
Paxon PAC,ex-Rep. Bill Paxon (R-NY),36375,0,36375,Solidly Republican/Conservative,2000
Great Plains Leadership Fund,Byron L. Dorgan (D-ND),36250,36250,0,Solidly Democrat/Liberal,2000
Hoosier PAC,Dan Burton (R-Ind),34500,0,34500,Solidly Republican/Conservative,2000
Glacier PAC,Max Baucus (D-Mont),34301,34301,0,Solidly Democrat/Liberal,2000
American Spirit,Jesse Helms (R-NC),33500,0,33500,Solidly Republican/Conservative,2000
Leadership 2000,Mark Foley (R-Fla),33000,0,33000,Solidly Republican/Conservative,2000
Southern California Fund,Brad Sherman (D-Calif),33000,33000,0,Solidly Democrat/Liberal,2000
Big Tent PAC,Arlen Specter (R-Pa),32250,0,32250,Solidly Republican/Conservative,2000
Committee for Southwest Virginia,Rick Boucher (D-Va),30000,30000,0,Solidly Democrat/Liberal,2000
Time Future Inc,ex-Sen. Bill Bradley (D-NJ),29042,29042,0,Solidly Democrat/Liberal,2000
Posthumus Victory Fund USA,State Sen. Dick Posthumus (R-MI),29000,0,29000,Solidly Republican/Conservative,2000
Congressional Leadership Fund (Cox),Christopher Cox (R-Calif),29000,0,29000,Solidly Republican/Conservative,2000
Committee for Working Families (McGreevey),Mayor Jim McGreevey (D-Woodbridge),27500,27500,0,Solidly Democrat/Liberal,2000
Pastor's PAC,Ed Pastor (D-Ariz),26000,25000,1000,Solidly Democrat/Liberal,2000
People Helping People,Maxine Waters (D-Calif),26000,26000,0,Solidly Democrat/Liberal,2000
21st Century Freedom PAC,Gov. George E. Pataki (R-NY),25333,0,25333,Solidly Republican/Conservative,2000
Mainstream PAC,Zoe Lofgren (D-Calif),25000,25000,0,Solidly Democrat/Liberal,2000
Archer's Arrows,Mayor Dennis Archer (D-Detroit),25000,25000,0,Solidly Democrat/Liberal,2000
"Faith, Family & Freedom PAC",David M McIntosh (R-Ind),22500,0,22500,Solidly Republican/Conservative,2000
Sunshine PAC,E Clay Shaw Jr. (R-Fla),22000,0,22000,Solidly Republican/Conservative,2000
Solidarity PAC,George Miller (D-Calif),22000,22000,0,Solidly Democrat/Liberal,2000
Straight Talk America,John McCain (R-Ariz),21000,0,21000,Solidly Republican/Conservative,2000
Citizens for a Competitive America,Fritz Hollings (D-SC),21000,21000,0,Solidly Democrat/Liberal,2000
TR Fund,Sherwood Boehlert (R-NY),18750,0,18750,Solidly Republican/Conservative,2000
Buckeye PAC,George V Voinovich (R-Ohio),18000,0,18000,Solidly Republican/Conservative,2000
American Dream PAC,Henry Bonilla (R-Texas),17750,0,17750,Solidly Republican/Conservative,2000
Liberty PAC (Ron Paul),Ron Paul (R-Texas),13500,0,13500,Leans Republican/Conservative,2000
Spirit of America,John Ashcroft (R-Mo),15000,0,15000,Solidly Republican/Conservative,2000
Kentucky PAC,Anne M Northup (R-Ky),15000,0,15000,Solidly Republican/Conservative,2000
Hudson Valley Victory Fund,Sue Kelly (R-NY),15000,0,15000,Solidly Republican/Conservative,2000
Pete's PAC,Pete V. Domenici (R-NM),15000,0,15000,Solidly Republican/Conservative,2000
New Century Project,John R Kasich (R-Ohio),14000,0,14000,Solidly Republican/Conservative,2000
Rough Rider PAC,Rick A Lazio (R-NY),14000,0,14000,Solidly Republican/Conservative,2000
Great Dane PAC,Jim Nussle (R-Iowa),13500,0,13500,Solidly Republican/Conservative,2000
Invest for America,ex-Rep. Bill Baker (R-Calif),13000,0,13000,Solidly Republican/Conservative,2000
Fund for All Americans,ex-Gov. Thomas Kean (R-NJ),13000,0,13000,Solidly Republican/Conservative,2000
Spirit of Democratic Capitalism Fund,Cliff Stearns (R-Fla),12500,0,12500,Solidly Republican/Conservative,2000
Fund for a Conservative Future,James M. Inhofe (R-Okla),12250,0,12250,Solidly Republican/Conservative,2000
Fund to Keep America Number One,Lewis Lehrman,12000,0,12000,Solidly Republican/Conservative,2000
Secure America's Majority PAC,Sam Johnson (R-Texas),11545,0,11545,Solidly Republican/Conservative,2000
Continue the Majority,Bill McCollum (R-Fla),11500,0,11500,Solidly Republican/Conservative,2000
Friends of the Big Sky,Conrad Burns (R-Mont),11000,0,11000,Solidly Republican/Conservative,2000
Prairie Leadership Cmte,Tim Johnson (D-SD),11000,11000,0,Solidly Democrat/Liberal,2000
Committee for Common Sense in Government,Bud Cramer (D-Ala),11000,11000,0,Solidly Democrat/Liberal,2000
Superior California Fed Leadership Fund,John T. Doolittle (R-Calif),10030,0,10030,Solidly Republican/Conservative,2000
Ed XL PAC,Hoekstra (R-Mich)/Schaffer (R-Colo),10000,0,10000,Solidly Republican/Conservative,2000
Leadership of Today & Tomorrow,Xavier Becerra (D-Calif),9800,9800,0,Solidly Democrat/Liberal,2000
Fund for Democratic Leadership,Robert T. Matsui (D-Calif),9000,9000,0,Solidly Democrat/Liberal,2000
William Penn Leadership Fund,James C Greenwood (R-Pa),9000,0,9000,Solidly Republican/Conservative,2000
California Aggressive Leadership PAC,Joe Baca (D-Calif),9000,9000,0,Solidly Democrat/Liberal,2000
Campaign Fund of Don DiFrancesco,State Sen. Don DiFrancesco (R-NJ),8500,0,8500,Solidly Republican/Conservative,2000
San Diego PAC,Bob Filner (D-Calif),8500,8500,0,Solidly Democrat/Liberal,2000
Acorn PAC,ex-Rep. William Broomfield (R-Mich),8500,500,8000,Solidly Republican/Conservative,2000
Committee for Democratic Action,ex-Sen. Howard M Metzenbaum (D-Ohio),7500,7500,0,Solidly Democrat/Liberal,2000
Progressive Politics Network,Paul Wellstone (D-Minn),7370,7370,0,Solidly Democrat/Liberal,2000
PA PAC,Frank Mascara (D-Pa),6500,6500,0,Solidly Democrat/Liberal,2000
Committee for a Democratic Consensus,ex-Sen. Alan Cranston (D-Calif),6000,6000,0,Solidly Democrat/Liberal,2000
Victory America,ex-Gov. Carroll A Campbell Jr (R-SC),6000,0,6000,Solidly Republican/Conservative,2000
United in Freedom,John E Sweeney (R-NY),6000,0,6000,Solidly Republican/Conservative,2000
Heart PAC,Todd Tiahrt (R-Kan),6000,0,6000,Solidly Republican/Conservative,2000
Helen's List,Helen Chenoweth-Hage (R-Idaho),5725,0,5725,Solidly Republican/Conservative,2000
House Managers PAC,Chris Cannon (R-Utah),5500,0,5500,Solidly Republican/Conservative,2000
Leadership for America Cmte,ex-Rep. Gerald B H Solomon (R-NY),5000,0,5000,Solidly Republican/Conservative,2000
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),5000,5000,0,Solidly Democrat/Liberal,2000
Jerry's PAC,Jerrold Nadler (D-NY),5000,5000,0,Solidly Democrat/Liberal,2000
Impact America,Gordon H Smith (R-Ore),5000,0,5000,Solidly Republican/Conservative,2000
Oregon Smith Fund,ex-Rep. Bob Smith (R-Ore),4500,0,4500,Solidly Republican/Conservative,2000
Millennium Leadership PAC,Alcee L. Hastings (D-Fla),4000,4000,0,Solidly Democrat/Liberal,2000
Gumbo PAC,Chris John (D-La),4000,4000,0,Solidly Democrat/Liberal,2000
Leadership for America,Phil Gramm (R-Texas),3501,0,3501,Solidly Republican/Conservative,2000
John J Cullerton Federal Cmte,State Sen. John J. Cullerton (D-Ill),3120,3120,0,Solidly Democrat/Liberal,2000
21st Century Majority Fund,Johnny Isakson (R-GA),3000,0,3000,Solidly Republican/Conservative,2000
Campaign America,ex-V.P. Dan Quayle (R-),3000,0,3000,Solidly Republican/Conservative,2000
America 2000 Fund,ex-Gov. Jim Thompson (R-Ill),2800,0,2800,Solidly Republican/Conservative,2000
American Sound Conservative PAC,Bob Barr (R-Ga),2500,0,2500,Solidly Republican/Conservative,2000
Progressive Leadership for America,Dennis Moore (D-Kan),2500,2500,0,Solidly Democrat/Liberal,2000
Empower People PAC,Ted Strickland (D-Ohio),2000,2000,0,Solidly Democrat/Liberal,2000
Velazquez Victory Fund,Nydia M. Velazquez (D-NY),2000,2000,0,Solidly Democrat/Liberal,2000
Pro-Liberty PAC,Dana Rohrabacher (R-Calif),2000,0,2000,Solidly Republican/Conservative,2000
HHH Fund,ex-State Atty Gen. Hubert Humphrey III,2000,2000,0,Solidly Democrat/Liberal,2000
Grassroots Victory Fund,ex-Sen. Larry Pressler (R-SD),2000,0,2000,Solidly Republican/Conservative,2000
Leadership for the Future,ex-Sen. Jim Sasser (D-Tenn),2000,2000,0,Solidly Democrat/Liberal,2000
Friends of Sophie Masloff,ex-Mayor Sophie Masloff (D-Pittsburgh),1750,1750,0,Solidly Democrat/Liberal,2000
Citizens for Gary J Lapaille,State Sen. Gary J. Lapaille (D-Ill),1250,1250,0,Solidly Democrat/Liberal,2000
