pac_name,affiliate,total,dem,repub,lean,year
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),1260755,1260755,0,Solidly Democrat/Liberal,2008
Freedom Project,John Boehner (R-Ohio),1099924,0,1099924,Solidly Republican/Conservative,2008
Every Republican is Crucial PAC,Eric Cantor (R-Va),1067000,0,1067000,Solidly Republican/Conservative,2008
National Leadership PAC,Charles B. Rangel (D-NY),957584,957584,0,Solidly Democrat/Liberal,2008
Our Common Values PAC,Rahm Emanuel (D-Ill),930800,930800,0,Solidly Democrat/Liberal,2008
BRIDGE PAC,James E. Clyburn (D-SC),916500,916500,0,Solidly Democrat/Liberal,2008
PAC to the Future,Nancy Pelosi (D-Calif),787000,787000,0,Solidly Democrat/Liberal,2008
Rely on Your Beliefs,Roy Blunt (R-Mo),687048,101,686947,Solidly Republican/Conservative,2008
Committee for the Preservation of Capitalism,Jim McCrery (R-La),619343,0,619343,Solidly Republican/Conservative,2008
Growth & Prosperity PAC,Spencer Bachus (R-Ala),550038,0,550038,Solidly Republican/Conservative,2008
Victory Now PAC,Chris Van Hollen (D-Md),499000,499000,0,Solidly Democrat/Liberal,2008
Democrats Win Seats PAC,Debbie Wasserman Schultz (D-Fla),473978,473978,0,Solidly Democrat/Liberal,2008
Continuing a Majority Party Action Cmte,Dave Camp (R-Mich),457532,0,457532,Solidly Republican/Conservative,2008
Impact (Schumer),Charles E. Schumer (D-NY),452500,452500,0,Solidly Democrat/Liberal,2008
Progressive Patriots Fund,Russ Feingold (D-Wis),450434,450434,0,Solidly Democrat/Liberal,2008
Searchlight Leadership Fund,Harry Reid (D-Nev),448499,448499,0,Solidly Democrat/Liberal,2008
Defend America PAC,Richard C. Shelby (R-Ala),417500,0,417500,Solidly Republican/Conservative,2008
PETE PAC,Pete Sessions (R-Texas),415000,0,415000,Solidly Republican/Conservative,2008
Solidarity PAC,George Miller (D-Calif),410857,410857,0,Solidly Democrat/Liberal,2008
Bluegrass Cmte,Mitch McConnell (R-Ky),394200,0,394200,Solidly Republican/Conservative,2008
Prairie PAC,Dick Durbin (D-Ill),392500,392500,0,Solidly Democrat/Liberal,2008
Senate Majority Fund,Jon L. Kyl (R-Ariz),385034,0,385034,Solidly Republican/Conservative,2008
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),362000,362000,0,Solidly Democrat/Liberal,2008
OrrinPAC,Orrin G. Hatch (R-Utah),360000,0,360000,Solidly Republican/Conservative,2008
Battle Born PAC,John Ensign (R-Nev),350000,0,350000,Solidly Republican/Conservative,2008
Majority PAC (Murtha),John P. Murtha (D-Pa),327000,322000,5000,Solidly Democrat/Liberal,2008
Synergy PAC,John B. Larson (D-Conn),314326,314326,0,Solidly Democrat/Liberal,2008
Next Century Fund,Richard Burr (R-NC),308500,0,308500,Solidly Republican/Conservative,2008
COLE PAC,Tom Cole (R-Okla),302300,0,302300,Solidly Republican/Conservative,2008
RED PAC,Adam H Putnam (R-Fla),302000,2000,300000,Solidly Republican/Conservative,2008
21st Century PAC,Buck McKeon (R-Calif),295315,0,295315,Solidly Republican/Conservative,2008
Hope Fund,Barack Obama (D-Ill),291000,291000,0,Solidly Democrat/Liberal,2008
HILLPAC,Hillary Clinton (D-NY),286300,286300,0,Solidly Democrat/Liberal,2008
KPAC,Kay Bailey Hutchison (R-Texas),285159,0,285159,Solidly Republican/Conservative,2008
Senate Victory Fund,Thad Cochran (R-Miss),280000,0,280000,Solidly Republican/Conservative,2008
Freedom Fund,Mike Crapo (R-Idaho),280000,0,280000,Solidly Republican/Conservative,2008
PAC for a Change,Barbara Boxer (D-Calif),267500,262500,5000,Solidly Democrat/Liberal,2008
Texas Freedom Fund,Joe Barton (R-Texas),266022,0,266022,Solidly Republican/Conservative,2008
America Works PAC,Sherrod Brown (D-Ohio),264975,264975,0,Solidly Democrat/Liberal,2008
Fund for a Conservative Future,James M. Inhofe (R-Okla),252500,0,252500,Solidly Republican/Conservative,2008
Heartland Values PAC,John Thune (R-SD),247500,0,247500,Solidly Republican/Conservative,2008
Tenn PAC,Lamar Alexander (R-Tenn),243500,0,243500,Solidly Republican/Conservative,2008
Making Business Excel PAC,Mike Enzi (R-Wyo),242500,0,242500,Solidly Republican/Conservative,2008
