pac_name,affiliate,total,dem,repub,lean,year
Every Republican is Crucial PAC,Eric Cantor (R-Va),1810000,0,1810000,Solidly Republican/Conservative,2014
Freedom Project,John Boehner (R-Ohio),1385000,0,1385000,Solidly Republican/Conservative,2014
Majority Cmte PAC,Kevin McCarthy (R-Calif),1204073,0,1204073,Solidly Republican/Conservative,2014
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),1074350,1074350,0,Solidly Democrat/Liberal,2014
Prosperity Action,Paul Ryan (R-Wis),885500,0,885500,Solidly Republican/Conservative,2014
Democrats Win Seats PAC,Debbie Wasserman Schultz (D-Fla),804950,804950,0,Solidly Democrat/Liberal,2014
"Jobs, Economy & Budget Fund",Jeb Hensarling (R-Texas),720403,0,720403,Solidly Republican/Conservative,2014
BRIDGE PAC,James E. Clyburn (D-SC),716500,716500,0,Solidly Democrat/Liberal,2014
PAC to the Future,Nancy Pelosi (D-Calif),563500,563500,0,Solidly Democrat/Liberal,2014
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),547100,547100,0,Solidly Democrat/Liberal,2014
Citizens for Prosperity in America Today,Pat Toomey (R-Pa),543917,0,543917,Solidly Republican/Conservative,2014
Pioneer PAC,Patrick J. Tiberi (R-Ohio),539618,0,539618,Solidly Republican/Conservative,2014
GOP Generation Y Fund,Aaron Schock (R-Ill),521088,0,521088,Solidly Republican/Conservative,2014
New Pioneers PAC,Greg Walden (R-Ore),499500,0,499500,Solidly Republican/Conservative,2014
Off The Sidelines,Kirsten Gillibrand (D-NY),488500,488500,0,Solidly Democrat/Liberal,2014
ROSKAM PAC,Peter Roskam (R-Ill),488278,0,488278,Solidly Republican/Conservative,2014
Rely on Your Beliefs,Roy Blunt (R-Mo),448000,0,448000,Solidly Republican/Conservative,2014
Alamo PAC,John Cornyn (R-Texas),435000,0,435000,Solidly Republican/Conservative,2014
Bluegrass Cmte,Mitch McConnell (R-Ky),422500,0,422500,Solidly Republican/Conservative,2014
Common Values PAC,John A. Barrasso (R-Wyo),422500,0,422500,Solidly Republican/Conservative,2014
New York Jobs PAC,Steve Israel (D-NY),415500,415500,0,Solidly Democrat/Liberal,2014
Shore PAC,Frank Pallone Jr (D-NJ),413000,413000,0,Solidly Democrat/Liberal,2014
CMR PAC,Cathy McMorris Rodgers (R-Wash),411997,0,411997,Solidly Republican/Conservative,2014
Defend America PAC,Richard C. Shelby (R-Ala),410000,0,410000,Solidly Republican/Conservative,2014
Continuing a Majority Party Action Cmte,Dave Camp (R-Mich),389500,0,389500,Solidly Republican/Conservative,2014
Heartland Values PAC,John Thune (R-SD),385000,0,385000,Solidly Republican/Conservative,2014
Peninsula PAC,Anna Eshoo (D-Calif),380500,380500,0,Solidly Democrat/Liberal,2014
Next Century Fund,Richard Burr (R-NC),376000,0,376000,Solidly Republican/Conservative,2014
Eye of the Tiger PAC,Steve Scalise (R-La),373475,0,373475,Solidly Republican/Conservative,2014
Leadership of Today & Tomorrow,Xavier Becerra (D-Calif),373208,373208,0,Solidly Democrat/Liberal,2014
CONA PAC,Mike Conaway (R-Texas),366348,0,366348,Solidly Republican/Conservative,2014
OrrinPAC,Orrin G. Hatch (R-Utah),364000,0,364000,Solidly Republican/Conservative,2014
Promoting Our Republican Team PAC,Rob Portman (R-Ohio),345500,0,345500,Solidly Republican/Conservative,2014
Impact (Schumer),Charles E. Schumer (D-NY),344200,344200,0,Solidly Democrat/Liberal,2014
Searchlight Leadership Fund,Harry Reid (D-Nev),333550,333550,0,Solidly Democrat/Liberal,2014
TRUST PAC,Fred Upton (R-Mich),333500,0,333500,Solidly Republican/Conservative,2014
Free State PAC,Jerry Moran (R-Kan),325715,0,325715,Solidly Republican/Conservative,2014
Victory Now PAC,Chris Van Hollen (D-Md),317000,317000,0,Solidly Democrat/Liberal,2014
PAC for a Level Playing Field,Elizabeth Warren (D-Mass),313800,313800,0,Solidly Democrat/Liberal,2014
Bill PAC (Shuster),Bill Shuster (R-Pa),308000,0,308000,Solidly Republican/Conservative,2014
Invest in a Strong & Secure America,Darrell Issa (R-Calif),305500,0,305500,Solidly Republican/Conservative,2014
HellerHighWater PAC,Dean Heller (R-Nev),296000,0,296000,Solidly Republican/Conservative,2014
Denali Leadership PAC,Lisa Murkowski (R-Alaska),295081,0,295081,Solidly Republican/Conservative,2014
Common Sense Colorado,Michael F. Bennet (D-Colo),292100,292100,0,Solidly Democrat/Liberal,2014
House Conservatives Fund,Bill Flores (R-Texas),290500,0,290500,Solidly Republican/Conservative,2014
PETE PAC,Pete Sessions (R-Texas),279860,0,279860,Solidly Republican/Conservative,2014
Prairie PAC,Dick Durbin (D-Ill),281250,281250,0,Solidly Democrat/Liberal,2014
Making America Prosperous,Kevin Brady (R-Texas),276300,0,276300,Solidly Republican/Conservative,2014
Solidarity PAC,George Miller (D-Calif),267255,267255,0,Solidly Democrat/Liberal,2014
Senate Victory Fund,Thad Cochran (R-Miss),265000,0,265000,Solidly Republican/Conservative,2014
Committee for the Preservation of Capitalism,Charles W Boustany Jr (R-La),262500,0,262500,Solidly Republican/Conservative,2014
Freedom Fund,Mike Crapo (R-Idaho),260500,0,260500,Solidly Republican/Conservative,2014
Jazz PAC,Mary L. Landrieu (D-La),260500,260500,0,Solidly Democrat/Liberal,2014
Tenn PAC,Lamar Alexander (R-Tenn),257500,0,257500,Solidly Republican/Conservative,2014
M-PAC,Patty Murray (D-Wash),240000,240000,0,Solidly Democrat/Liberal,2014
Oceans PAC,Sheldon Whitehouse (D-RI),240000,240000,0,Solidly Democrat/Liberal,2014
New PAC,Devin Nunes (R-Calif),239000,0,239000,Solidly Republican/Conservative,2014
Republican Majority Fund,Saxby Chambliss (R-Ga),237500,0,237500,Solidly Republican/Conservative,2014
GOALPAC,Sander Levin (D-Mich),236000,236000,0,Solidly Democrat/Liberal,2014
COLE PAC,Tom Cole (R-Okla),233500,0,233500,Solidly Republican/Conservative,2014
Country First PAC,John McCain (R-Ariz),229926,0,229926,Solidly Republican/Conservative,2014
