pac_name,affiliate,total,dem,repub,lean,year
Majority Cmte PAC,Kevin McCarthy (R-Calif),2067595,0,2067595,Solidly Republican/Conservative,2016
Prosperity Action,Paul Ryan (R-Wis),1326238,0,1326238,Solidly Republican/Conservative,2016
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),1095799,1095799,0,Solidly Democrat/Liberal,2016
Eye of the Tiger PAC,Steve Scalise (R-La),941985,0,941985,Solidly Republican/Conservative,2016
More Conservatives PAC,Patrick McHenry (R-NC),702000,0,702000,Solidly Republican/Conservative,2016
Off The Sidelines,Kirsten Gillibrand (D-NY),692750,692750,0,Solidly Democrat/Liberal,2016
Freedom Project,John Boehner (R-Ohio),671829,0,671829,Solidly Republican/Conservative,2016
BRIDGE PAC,James E. Clyburn (D-SC),657500,657500,0,Solidly Democrat/Liberal,2016
Making America Prosperous,Kevin Brady (R-Texas),595304,0,595304,Solidly Republican/Conservative,2016
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),582900,582900,0,Solidly Democrat/Liberal,2016
New Pioneers PAC,Greg Walden (R-Ore),565900,0,565900,Solidly Republican/Conservative,2016
CMR PAC,Cathy McMorris Rodgers (R-Wash),544799,0,544799,Solidly Republican/Conservative,2016
Pioneer PAC,Patrick J. Tiberi (R-Ohio),536042,0,536042,Solidly Republican/Conservative,2016
"Jobs, Economy & Budget Fund",Jeb Hensarling (R-Texas),525000,0,525000,Solidly Republican/Conservative,2016
PAC to the Future,Nancy Pelosi (D-Calif),506000,506000,0,Solidly Democrat/Liberal,2016
Leadership of Today & Tomorrow,Xavier Becerra (D-Calif),411000,411000,0,Solidly Democrat/Liberal,2016
Bluegrass Cmte,Mitch McConnell (R-Ky),378500,0,378500,Solidly Republican/Conservative,2016
Support to Ensure Victory Everywhere PAC,Steve Stivers (R-Ohio),378500,2000,376500,Solidly Republican/Conservative,2016
Next Century Fund,Richard Burr (R-NC),353000,0,353000,Solidly Republican/Conservative,2016
