pac_name,affiliate,total,dem,repub,lean,year
Every Republican is Crucial PAC,Eric Cantor (R-Va),1251496,0,1251496,Solidly Republican/Conservative,2006
Freedom Project,John Boehner (R-Ohio),1053185,0,1053185,Solidly Republican/Conservative,2006
Rely on Your Beliefs,Roy Blunt (R-Mo),982439,0,982439,Solidly Republican/Conservative,2006
Together for Our Majority,Tom Reynolds (R-NY),975000,0,975000,Solidly Republican/Conservative,2006
Keep Our Majority PAC,Dennis Hastert (R-Ill),953830,0,953830,Solidly Republican/Conservative,2006
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),948750,948750,0,Solidly Democrat/Liberal,2006
Committee for the Preservation of Capitalism,Jim McCrery (R-La),827500,0,827500,Solidly Republican/Conservative,2006
Promoting Republicans You Can Elect,Deborah Pryce (R-Ohio),778500,0,778500,Solidly Republican/Conservative,2006
Our Common Values PAC,Rahm Emanuel (D-Ill),742500,740500,2000,Solidly Democrat/Liberal,2006
Forward Together PAC,Gov. Mark Warner (D-Va),711300,711300,0,Solidly Democrat/Liberal,2006
Growth & Prosperity PAC,Spencer Bachus (R-Ala),694537,0,694537,Solidly Republican/Conservative,2006
PAC to the Future,Nancy Pelosi (D-Calif),683500,683500,0,Solidly Democrat/Liberal,2006
PETE PAC,Pete Sessions (R-Texas),672500,0,672500,Solidly Republican/Conservative,2006
21st Century PAC,Buck McKeon (R-Calif),662416,0,662416,Solidly Republican/Conservative,2006
Texas Freedom Fund,Joe Barton (R-Texas),625940,0,625940,Solidly Republican/Conservative,2006
Hope Fund,Barack Obama (D-Ill),580069,580069,0,Solidly Democrat/Liberal,2006
Majority Initiative-Keep Electing Repubs,Mike Rogers (R-Mich),589000,0,589000,Solidly Republican/Conservative,2006
National Leadership PAC,Charles B. Rangel (D-NY),578000,578000,0,Solidly Democrat/Liberal,2006
Leadership PAC 2006,Michael G Oxley (R-Ohio),534250,0,534250,Solidly Republican/Conservative,2006
COLE PAC,Tom Cole (R-Okla),533879,0,533879,Solidly Republican/Conservative,2006
Help America's Leaders,Hal Rogers (R-Ky),504500,0,504500,Solidly Republican/Conservative,2006
Future Leaders PAC,Jerry Lewis (R-Calif),476000,0,476000,Solidly Republican/Conservative,2006
Back America's Conservatives PAC,Richard Baker (R-La),466270,0,466270,Solidly Republican/Conservative,2006
Keeping America's Promise,John Kerry (D-Mass),458895,458895,0,Solidly Democrat/Liberal,2006
Longhorn PAC,Lamar Smith (R-Texas),454321,0,454321,Solidly Republican/Conservative,2006
Tenn PAC,Lamar Alexander (R-Tenn),445083,0,445083,Solidly Republican/Conservative,2006
IRL PAC,Ileana Ros-Lehtinen (R-Fla),421500,0,421500,Solidly Republican/Conservative,2006
Volunteer PAC,Bill Frist (R-Tenn),413250,0,413250,Solidly Republican/Conservative,2006
Solutions America,ex-Mayor Rudolph W Giuliani (R-NYC),358500,0,358500,Solidly Republican/Conservative,2006
Straight Talk America,John McCain (R-Ariz),354163,0,354163,Solidly Republican/Conservative,2006
Prosperity PAC,Paul Ryan (R-Wis),323000,0,323000,Solidly Republican/Conservative,2006
Defend America PAC,Richard C. Shelby (R-Ala),305000,0,305000,Solidly Republican/Conservative,2006
Badger Fund,Tom Petri (R-Wis),303827,0,303827,Solidly Republican/Conservative,2006
HILLPAC,Hillary Clinton (D-NY),278000,278000,0,Solidly Democrat/Liberal,2006
Searchlight Leadership Fund,Harry Reid (D-Nev),282000,282000,0,Solidly Democrat/Liberal,2006
Americans for a Republican Majority,ex-Rep. Tom DeLay (R-Texas),295000,0,295000,Solidly Republican/Conservative,2006
Solidarity PAC,George Miller (D-Calif),295000,295000,0,Solidly Democrat/Liberal,2006
PAC for a Change,Barbara Boxer (D-Calif),287375,287375,0,Solidly Democrat/Liberal,2006
Rich PAC,Richard W Pombo (R-Calif),292000,0,292000,Solidly Republican/Conservative,2006
Prosperity Helps Inspire Liberty PAC,Phil English (R-Pa),278499,0,278499,Solidly Republican/Conservative,2006
CHRIS PAC,Chris Dodd (D-Conn),259000,259000,0,Solidly Democrat/Liberal,2006
Superior California Fed Leadership Fund,John T. Doolittle (R-Calif),264669,0,264669,Solidly Republican/Conservative,2006
Progressive Patriots Fund,Russ Feingold (D-Wis),254500,254500,0,Solidly Democrat/Liberal,2006
Making Business Excel PAC,Mike Enzi (R-Wyo),250000,0,250000,Solidly Republican/Conservative,2006
Senate Victory Fund,Thad Cochran (R-Miss),236000,0,236000,Solidly Republican/Conservative,2006
Sandhills PAC,Chuck Hagel (R-Neb),230028,0,230028,Solidly Republican/Conservative,2006
Republican Majority Fund,Saxby Chambliss (R-Ga),223500,0,223500,Solidly Republican/Conservative,2006
Pioneer PAC,Dave Hobson (R-Ohio),223150,0,223150,Solidly Republican/Conservative,2006
Northern Lights PAC,Ted Stevens (R-Alaska),221000,0,221000,Solidly Republican/Conservative,2006
LA PAC,Henry A. Waxman (D-Calif),219000,219000,0,Solidly Democrat/Liberal,2006
Good Government for America,George Allen (R-Va),217500,0,217500,Solidly Republican/Conservative,2006
Prairie PAC,Dick Durbin (D-Ill),208500,208500,0,Solidly Democrat/Liberal,2006
KITPAC,"Christopher ""Kit"" Bond (R-MO)",209000,0,209000,Solidly Republican/Conservative,2006
CARE PAC,Ralph Regula (R-Ohio),208000,0,208000,Solidly Republican/Conservative,2006
New Leadership for America,ex-Sen Tom Daschle (D-SD),201000,201000,0,Solidly Democrat/Liberal,2006
New PAC,Devin Nunes (R-Calif),202000,0,202000,Solidly Republican/Conservative,2006
Commonwealth PAC,Gov. Mitt Romney (R-Mass),200250,0,200250,Solidly Republican/Conservative,2006
Leadership Encouraging Excellence PAC,Nancy L Johnson (R-Conn),198000,0,198000,Solidly Republican/Conservative,2006
Committee for a Livable Future,Earl Blumenauer (D-Ore),196500,196500,0,Solidly Democrat/Liberal,2006
Road to Victory PAC,John J Duncan Jr (R-Tenn),196000,0,196000,Solidly Republican/Conservative,2006
Northstar Leadership PAC,Norm Coleman (R-Minn),195600,0,195600,Solidly Republican/Conservative,2006
Victory in November Election PAC,Mike Thompson (D-Calif),194949,194949,0,Solidly Democrat/Liberal,2006
New Republican Majority Fund,Trent Lott (R-Miss),193000,0,193000,Solidly Republican/Conservative,2006
Friends of Phil Gramm,ex-Sen. Phil Gramm (R-Texas),189788,0,189788,Solidly Republican/Conservative,2006
Hawkeye PAC,Chuck Grassley (R-Iowa),188500,0,188500,Solidly Republican/Conservative,2006
Bluegrass Cmte,Mitch McConnell (R-Ky),188434,0,188434,Solidly Republican/Conservative,2006
Freedom Fund,Mike Crapo (R-Idaho),187500,0,187500,Solidly Republican/Conservative,2006
Democracy Believers PAC,Lincoln Diaz-Balart (R-Fla),185500,0,185500,Solidly Republican/Conservative,2006
BRIDGE PAC,James E. Clyburn (D-SC),185000,185000,0,Solidly Democrat/Liberal,2006
Impact America,Gordon H Smith (R-Ore),180000,0,180000,Solidly Republican/Conservative,2006
Leadership in the New Century,Blanche Lincoln (D-Ark),170500,170500,0,Solidly Democrat/Liberal,2006
House Conservatives Fund,Tom Feeney (R-Fla),180000,0,180000,Solidly Republican/Conservative,2006
Heartland Values PAC,John Thune (R-SD),177423,0,177423,Solidly Republican/Conservative,2006
Next Century Fund,Richard Burr (R-NC),175500,0,175500,Solidly Republican/Conservative,2006
Ohio's 17 Star PAC,Mike DeWine (R-Ohio),175000,0,175000,Solidly Republican/Conservative,2006
Impact (Schumer),Charles E. Schumer (D-NY),169750,169750,0,Solidly Democrat/Liberal,2006
21st Century Freedom PAC,Gov. George E. Pataki (R-NY),168002,0,168002,Solidly Republican/Conservative,2006
Battle Born PAC,John Ensign (R-Nev),168000,0,168000,Solidly Republican/Conservative,2006
Leadership for America's Future,John Shadegg (R-Ariz),166000,0,166000,Solidly Republican/Conservative,2006
Senate Majority Fund,Jon L. Kyl (R-Ariz),163300,0,163300,Solidly Republican/Conservative,2006
America's Foundation,Rick Santorum (R-Pa),162582,0,162582,Solidly Republican/Conservative,2006
Unite Our States,Joe Biden (D-Del),161100,161100,0,Solidly Democrat/Liberal,2006
Midnight Sun,Don Young (R-Alaska),159328,0,159328,Solidly Republican/Conservative,2006
Political Hall of Fame PAC,Jim Bunning (R-Ky),158800,0,158800,Solidly Republican/Conservative,2006
First State PAC,Tom Carper (D-Del),148000,148000,0,Solidly Democrat/Liberal,2006
Rhode Island PAC,Patrick J. Kennedy (D-RI),156800,156800,0,Solidly Democrat/Liberal,2006
KPAC,Kay Bailey Hutchison (R-Texas),157000,0,157000,Solidly Republican/Conservative,2006
Leadership Circle PAC,Elizabeth Dole (R-NC),156476,0,156476,Solidly Republican/Conservative,2006
Synergy PAC,John B. Larson (D-Conn),154406,154406,0,Solidly Democrat/Liberal,2006
Majority PAC (Murtha),John P. Murtha (D-Pa),154000,152000,2000,Solidly Democrat/Liberal,2006
Leadership 21,John Tanner (D-Tenn),153500,153500,0,Solidly Democrat/Liberal,2006
Glacier PAC,Max Baucus (D-Mont),140286,140286,0,Solidly Democrat/Liberal,2006
DANPAC,Daniel K Inouye (D-Hawaii),145100,145100,0,Solidly Democrat/Liberal,2006
Continuing a Majority Party Action Cmte,Dave Camp (R-Mich),146500,0,146500,Solidly Republican/Conservative,2006
Federal Victory Fund,Tom Davis (R-Va),145000,0,145000,Solidly Republican/Conservative,2006
Daniel Webster PAC,John E Sununu (R-NH),141000,0,141000,Solidly Republican/Conservative,2006
Dirigo PAC,Susan Collins (R-Maine),135228,0,135228,Solidly Republican/Conservative,2006
Midwest Values PAC,Al Franken (D-Minn),137500,137500,0,Solidly Democrat/Liberal,2006
Fund for America's Future,Lindsey Graham (R-SC),136500,0,136500,Solidly Republican/Conservative,2006
Majority In Congress PAC,John L Mica (R-Fla),134000,0,134000,Solidly Republican/Conservative,2006
Big Tent PAC,Arlen Specter (R-Pa),128500,0,128500,Solidly Republican/Conservative,2006
Tallatchee Creek Inc,Jeff Sessions (R-Ala),133000,0,133000,Solidly Republican/Conservative,2006
Principles Exalt A Nation PAC,Mike Pence (R-Ind),131500,0,131500,Solidly Republican/Conservative,2006
Louisiana Reform PAC,David Vitter (R-LA),131000,0,131000,Solidly Republican/Conservative,2006
21st Century Majority Fund,Johnny Isakson (R-GA),131000,0,131000,Solidly Republican/Conservative,2006
Restore America PAC,Sam Brownback (R-Kan),131000,0,131000,Solidly Republican/Conservative,2006
Campaign for America's Future,Orrin G. Hatch (R-Utah),131000,0,131000,Solidly Republican/Conservative,2006
America's Leadership PAC,Deborah Ann Stabenow (D-Mich),129500,129500,0,Solidly Democrat/Liberal,2006
Carolina Majority PAC,Joe Wilson (R-SC),128917,0,128917,Solidly Republican/Conservative,2006
Alamo PAC,John Cornyn (R-Texas),128543,0,128543,Solidly Republican/Conservative,2006
DAKPAC,Kent Conrad (D-ND),123500,123500,0,Solidly Democrat/Liberal,2006
White Mountain PAC,Judd Gregg (R-NH),128000,0,128000,Solidly Republican/Conservative,2006
Freedom & Democracy Fund,Mel Martinez (R-Fla),127300,0,127300,Solidly Republican/Conservative,2006
America's Majority Trust,ex-Rep. Rob Portman (R-Ohio),127000,0,127000,Solidly Republican/Conservative,2006
Progressive Choices PAC,Jan Schakowsky (D-Ill),125998,125998,0,Solidly Democrat/Liberal,2006
Buckeye Liberty PAC,Pat Tiberi (R-Ohio),125500,0,125500,Solidly Republican/Conservative,2006
RED PAC,Adam H Putnam (R-Fla),125475,1000,124475,Solidly Republican/Conservative,2006
Friends of the Big Sky,Conrad Burns (R-Mont),119000,0,119000,Solidly Republican/Conservative,2006
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),118500,118500,0,Solidly Democrat/Liberal,2006
Fund for a Conservative Future,James M. Inhofe (R-Okla),118348,0,118348,Solidly Republican/Conservative,2006
American Leadership Council,Joe Knollenberg (R-Mich),118000,0,118000,Solidly Republican/Conservative,2006
Green Mountain PAC,Patrick Leahy (D-Vt),108000,108000,0,Solidly Democrat/Liberal,2006
New Millennium PAC,Robert Menendez (D-NJ),116200,116200,0,Solidly Democrat/Liberal,2006
Alliance for the West,Larry Craig (R-Idaho),115000,0,115000,Solidly Republican/Conservative,2006
Moving America Forward,Bill Nelson (D-Fla),108700,108700,0,Solidly Democrat/Liberal,2006
Conservative Victory Fund,ex-Rep. Steven D Symms (R-Idaho),110944,454,110490,Solidly Republican/Conservative,2006
John S Fund,John M. Shimkus (R-Ill),110500,0,110500,Solidly Republican/Conservative,2006
Preserving America's Traditions,Pat Roberts (R-Kan),110500,0,110500,Solidly Republican/Conservative,2006
To Organize a Majority PAC,Tom Harkin (D-Iowa),109500,109500,0,Solidly Democrat/Liberal,2006
Victory Now PAC,Chris Van Hollen (D-Md),110500,110500,0,Solidly Democrat/Liberal,2006
Narragansett Bay PAC,Jack Reed (D-RI),105850,105850,0,Solidly Democrat/Liberal,2006
SAXPAC,Jim Saxton (R-NJ),106000,0,106000,Solidly Republican/Conservative,2006
Silver State 21st Century PAC,Shelley Berkley (D-Nev),103250,102750,500,Solidly Democrat/Liberal,2006
M-PAC,Patty Murray (D-Wash),102500,102500,0,Solidly Democrat/Liberal,2006
Nebraska Leadership PAC,Ben Nelson (D-Neb),101000,101000,0,Solidly Democrat/Liberal,2006
Rocky Mountain PAC,Ken Salazar (D-Colo),94592,94592,0,Solidly Democrat/Liberal,2006
Jazz PAC,Mary L. Landrieu (D-La),95500,95500,0,Solidly Democrat/Liberal,2006
American Success PAC,David Dreier (R-Calif),100500,0,100500,Solidly Republican/Conservative,2006
MINT PAC,James W DeMint (R-SC),99999,0,99999,Solidly Republican/Conservative,2006
Good Fund,Bob Goodlatte (R-VA),97394,0,97394,Solidly Republican/Conservative,2006
Committee for a Democratic Majority,Edward M. Kennedy (D-Mass),96240,96240,0,Solidly Democrat/Liberal,2006
13th Colony Leadership Cmte,Jack Kingston (R-Ga),95500,0,95500,Solidly Republican/Conservative,2006
All America PAC,Evan Bayh (D-Ind),93582,93582,0,Solidly Democrat/Liberal,2006
Building A Majority PAC,Barbara A. Mikulski (D-Md),88000,88000,0,Solidly Democrat/Liberal,2006
Calumet PAC,Pete Visclosky (D-Ind),92000,92000,0,Solidly Democrat/Liberal,2006
Our Congress PAC,Mike Ross (D-Ark),88500,88500,0,Solidly Democrat/Liberal,2006
Mike PAC,Mike Ferguson (R-NJ),87500,0,87500,Solidly Republican/Conservative,2006
Western Action PAC,Craig Thomas (R-Wyo),86000,0,86000,Solidly Republican/Conservative,2006
Buckeye PAC,George V Voinovich (R-Ohio),85500,0,85500,Solidly Republican/Conservative,2006
CARTER PAC,John Carter (R-Texas),85500,0,85500,Solidly Republican/Conservative,2006
Democrats Win Seats PAC,Debbie Wasserman Schultz (D-Fla),85000,85000,0,Solidly Democrat/Liberal,2006
SNOWPAC,Robert F. Bennett (R-Utah),83900,0,83900,Solidly Republican/Conservative,2006
ANDER PAC,Ander Crenshaw (R-Fla),83000,0,83000,Solidly Republican/Conservative,2006
New American Leadership Fund,Mark Kirk (R-Ill),79000,0,79000,Solidly Republican/Conservative,2006
New Jersey First,Frank R Lautenberg (D-NJ),72000,72000,0,Solidly Democrat/Liberal,2006
Hoosier PAC,Dan Burton (R-Ind),77500,0,77500,Solidly Republican/Conservative,2006
TRUST PAC,Fred Upton (R-Mich),76500,0,76500,Solidly Republican/Conservative,2006
Sharp Pencil PAC,Howard Coble (R-NC),76000,0,76000,Solidly Republican/Conservative,2006
Changing Tide Cmte,Wayne Allard (R-Colo),75000,0,75000,Solidly Republican/Conservative,2006
Committee for a Progressive Congress,David R Obey (D-Wis),74500,74500,0,Solidly Democrat/Liberal,2006
Harvest PAC,Allen Boyd (D-Fla),74000,74000,0,Solidly Democrat/Liberal,2006
People's House PAC,Tammy Baldwin (D-Wis),71000,71000,0,Solidly Democrat/Liberal,2006
SecureUS,Jane Harman (D-Calif),71000,70000,1000,Solidly Democrat/Liberal,2006
Holding Onto Oregon's Priorities,Ron Wyden (D-Ore),71000,71000,0,Solidly Democrat/Liberal,2006
DASHPAC,ex-Sen Tom Daschle (D-SD),66000,66000,0,Solidly Democrat/Liberal,2006
Doing Our Nation's Service PAC,Don Sherwood (R-Pa),70996,0,70996,Solidly Republican/Conservative,2006
Mill to the Hill PAC,Mike Michaud (D-Maine),70500,70500,0,Solidly Democrat/Liberal,2006
Great Plains Leadership Fund,Byron L. Dorgan (D-ND),69500,69500,0,Solidly Democrat/Liberal,2006
Stand Tall America PAC,Mac Thornberry (R-Texas),67000,0,67000,Solidly Republican/Conservative,2006
Fund for American Opportunity,ex-Sen. Spencer Abraham (R-Mich),66000,0,66000,Solidly Republican/Conservative,2006
Jack PAC,ex-Rep. Jack Quinn (R-NY),65045,2000,63045,Solidly Republican/Conservative,2006
Responsibility & Freedom Work PAC,Roger Wicker (R-Miss),65000,1000,64000,Solidly Republican/Conservative,2006
"Renewing Opportunity, Trust & Hope",Steven R. Rothman (D-NJ),63924,63924,0,Solidly Democrat/Liberal,2006
America Works PAC,Sherrod Brown (D-Ohio),60750,60750,0,Solidly Democrat/Liberal,2006
Voice for Freedom,Tom Price (R-Ga),62000,0,62000,Solidly Republican/Conservative,2006
Milead Fund,Peter Hoekstra (R-Mich),61535,0,61535,Solidly Republican/Conservative,2006
Wedge PAC,Marsha Blackburn (R-Tenn),59900,0,59900,Solidly Republican/Conservative,2006
Show-Me Fund,Ike Skelton (D-Mo),59600,59600,0,Solidly Democrat/Liberal,2006
American Dream PAC,Henry Bonilla (R-Texas),59000,0,59000,Solidly Republican/Conservative,2006
Campaign for Florida's Future,Betty Castor (D-Fla),57550,56550,1000,Solidly Democrat/Liberal,2006
Patriots for United Leadership,Paul E Gillmor (R-Ohio),57075,0,57075,Solidly Republican/Conservative,2006
Wisconsin Leadership PAC,F James Sensenbrenner Jr. (R-Wis),57000,0,57000,Solidly Republican/Conservative,2006
Re-Elect Freshmen of the Republican Majority,Jerry Weller (R-Ill),56500,0,56500,Solidly Republican/Conservative,2006
Heart PAC,Todd Tiahrt (R-Kan),55000,0,55000,Solidly Republican/Conservative,2006
Democrats for the Future,Ellen O. Tauscher (D-Calif),54499,54499,0,Solidly Democrat/Liberal,2006
Leading Us In Success PAC,Luis Fortuno (R-PR),54000,0,54000,Solidly Republican/Conservative,2006
Common Sense Common Solutions,Kay Granger (R-Texas),54000,0,54000,Solidly Republican/Conservative,2006
Sunshine PAC,E Clay Shaw Jr. (R-Fla),53500,0,53500,Solidly Republican/Conservative,2006
Summit PAC,Alan B Mollohan (D-Wva),53500,53500,0,Solidly Democrat/Liberal,2006
For America's Republican Majority,Tom Latham (R-Iowa),53000,0,53000,Solidly Republican/Conservative,2006
Dunn PAC,ex-Rep. Jennifer Dunn (R-Wa),52750,0,52750,Solidly Republican/Conservative,2006
Haley's PAC,Gov. Haley Barbour (R-Miss),52000,0,52000,Solidly Republican/Conservative,2006
Help Elect America's Team PAC,Kendrick B Meek (D-Fla),49000,49000,0,Solidly Democrat/Liberal,2006
PAC for Democracy,Tom Lantos (D-Calif),44300,44300,0,Solidly Democrat/Liberal,2006
Congressional Majority Cmte,Bill Thomas (R-Calif),46000,0,46000,Solidly Republican/Conservative,2006
