pac_name,affiliate,total,dem,repub,lean,year
Americans for a Republican Majority,Tom DeLay (R-Texas),1058355,0,1058355,Solidly Republican/Conservative,2002
PAC to the Future,Nancy Pelosi (D-Calif),1041150,1041150,0,Solidly Democrat/Liberal,2002
HILLPAC,Hillary Clinton (D-NY),837000,837000,0,Solidly Democrat/Liberal,2002
Keep Our Majority PAC,Dennis Hastert (R-Ill),778500,0,778500,Solidly Republican/Conservative,2002
New Millennium PAC,Robert Menendez (D-NJ),681500,681500,0,Solidly Democrat/Liberal,2002
AmeriPAC: The Fund for a Greater America,Steny H. Hoyer (D-Md),642500,642500,0,Solidly Democrat/Liberal,2002
Freedom Project,John Boehner (R-Ohio),641792,0,641792,Solidly Republican/Conservative,2002
Rely on Your Beliefs,Roy Blunt (R-Mo),631429,0,631429,Solidly Republican/Conservative,2002
Leadership PAC 2002,Michael G Oxley (R-Ohio),556400,0,556400,Solidly Republican/Conservative,2002
National Leadership PAC,Charles B. Rangel (D-NY),550500,550500,0,Solidly Democrat/Liberal,2002
Committee for the Preservation of Capitalism,Jim McCrery (R-La),532000,0,532000,Solidly Republican/Conservative,2002
Lone Star Fund,Martin Frost (D-Texas),531726,531726,0,Solidly Democrat/Liberal,2002
Together for Our Majority,Tom Reynolds (R-NY),519987,0,519987,Solidly Republican/Conservative,2002
DASHPAC,Tom Daschle (D-SD),476000,476000,0,Solidly Democrat/Liberal,2002
Bayou Leader PAC,Billy Tauzin (R-La),440470,0,440470,Solidly Republican/Conservative,2002
Republican Majority Fund,Don Nickles (R-Okla),405793,0,405793,Solidly Republican/Conservative,2002
Future Leaders PAC,Jerry Lewis (R-Calif),363000,5000,358000,Solidly Republican/Conservative,2002
Congressional Majority Cmte,Bill Thomas (R-Calif),360500,0,360500,Solidly Republican/Conservative,2002
Effective Government Cmte,Richard A Gephardt (D-Mo),360000,360000,0,Solidly Democrat/Liberal,2002
New Republican Majority Fund,Trent Lott (R-Miss),360000,0,360000,Solidly Republican/Conservative,2002
Responsibility/Opportunity/Community PAC,Joe Lieberman (D-Conn),354822,354822,0,Solidly Democrat/Liberal,2002
Defend America PAC,Richard C. Shelby (R-Ala),330000,0,330000,Solidly Republican/Conservative,2002
Freedom Works PAC,Dick Armey (R-Texas),321240,0,321240,Solidly Republican/Conservative,2002
LA PAC,Henry A. Waxman (D-Calif),322000,322000,0,Solidly Democrat/Liberal,2002
American Success PAC,David Dreier (R-Calif),312500,0,312500,Solidly Republican/Conservative,2002
Americans for Responsible Leadership,Evan Bayh (D-Ind),308500,308500,0,Solidly Democrat/Liberal,2002
Volunteer PAC,Bill Frist (R-Tenn),306000,5000,301000,Solidly Republican/Conservative,2002
Help America's Leaders,Hal Rogers (R-Ky),285000,0,285000,Solidly Republican/Conservative,2002
America's Majority Trust,Rob Portman (R-Ohio),274526,0,274526,Solidly Republican/Conservative,2002
America's Foundation,Rick Santorum (R-Pa),264000,0,264000,Solidly Republican/Conservative,2002
Federal Victory Fund,Tom Davis (R-Va),251500,3000,248500,Solidly Republican/Conservative,2002
Searchlight Leadership Fund,Harry Reid (D-Nev),249962,249962,0,Solidly Democrat/Liberal,2002
New Jersey United,Jon S Corzine (D-NJ),247000,247000,0,Solidly Democrat/Liberal,2002
Re-Elect Freshmen of the Republican Majority,Jerry Weller (R-Ill),246887,0,246887,Solidly Republican/Conservative,2002
PAC for a Change,Barbara Boxer (D-Calif),237000,237000,0,Solidly Democrat/Liberal,2002
Sandhills PAC,Chuck Hagel (R-Neb),234500,5000,229500,Solidly Republican/Conservative,2002
Promoting Republicans You Can Elect,Deborah Pryce (R-Ohio),233000,0,233000,Solidly Republican/Conservative,2002
Committee for a Democratic Future,Rosa L DeLauro (D-Conn),223066,223066,0,Solidly Democrat/Liberal,2002
Good Government for America,George Allen (R-Va),207500,1000,206500,Solidly Republican/Conservative,2002
Bluegrass Cmte,Mitch McConnell (R-Ky),191000,0,191000,Solidly Republican/Conservative,2002
Senate Majority Fund,Jon L. Kyl (R-Ariz),186984,0,186984,Solidly Republican/Conservative,2002
Conservative Victory Fund,ex-Rep. Steven D Symms (R-Idaho),184674,0,184674,Solidly Republican/Conservative,2002
Senate Victory Fund,Thad Cochran (R-Miss),184597,0,184597,Solidly Republican/Conservative,2002
Northern Lights PAC,Ted Stevens (R-Alaska),180488,0,180488,Solidly Republican/Conservative,2002
New American Optimists,John Edwards (D-NC),179925,179925,0,Solidly Democrat/Liberal,2002
PETE PAC,Pete Sessions (R-Texas),177000,0,177000,Solidly Republican/Conservative,2002
Committee for a Livable Future,Earl Blumenauer (D-Ore),175575,175575,0,Solidly Democrat/Liberal,2002
Texas Freedom Fund,Joe Barton (R-Texas),169010,0,169010,Solidly Republican/Conservative,2002
Committee for Leadership & Progress,Nita M. Lowey (D-NY),167000,167000,0,Solidly Democrat/Liberal,2002
Committee for a Democratic Majority,Edward M. Kennedy (D-Mass),166858,166858,0,Solidly Democrat/Liberal,2002
