pac_name,affiliate,total,dem,repub,lean,year
AmeriPAC: The Fund for a Greater America,Steny H Hoyer (D-Md),2334546,2334546,0,Solidly Democrat/Liberal,2018
Majority Cmte PAC,Kevin McCarthy (R-Calif),2312763,0,2312763,Solidly Republican/Conservative,2018
House Freedom Fund,Mark R Meadows (R-NC),2153695,0,2153695,Solidly Republican/Conservative,2018
Prosperity Action,Paul Ryan (R-Wis),2027700,0,2027700,Solidly Republican/Conservative,2018
Eye of the Tiger PAC,Steve Scalise (R-La),1118000,0,1118000,Solidly Republican/Conservative,2018
BRIDGE PAC,James E Clyburn (D-SC),908500,908500,0,Solidly Democrat/Liberal,2018
More Conservatives PAC,Patrick McHenry (R-NC),891000,2500,888500,Solidly Republican/Conservative,2018
New Pioneers PAC,Greg Walden (R-Ore),874500,0,874500,Solidly Republican/Conservative,2018
Making America Prosperous,Kevin Brady (R-Texas),865000,0,865000,Solidly Republican/Conservative,2018
PAC to the Future,Nancy Pelosi (D-Calif),767000,767000,0,Solidly Democrat/Liberal,2018
Great America Cmte,Vice President Mike Pence (R-),742400,0,742400,Solidly Republican/Conservative,2018
"Jobs, Opportunities & Education PAC",Joseph Crowley (D-NY),711946,706946,5000,Solidly Democrat/Liberal,2018
Support to Ensure Victory Everywhere PAC,Steve Stivers (R-Ohio),678998,5000,673998,Solidly Republican/Conservative,2018
CMR PAC,Cathy McMorris Rodgers (R-Wash),618013,0,618013,Solidly Republican/Conservative,2018
United for A Strong America,Adam Schiff (D-Calif),538000,538000,0,Solidly Democrat/Liberal,2018
Off the Sidelines,Kirsten Gillibrand (D-NY),538000,538000,0,Solidly Democrat/Liberal,2018
Purpose PAC,Cory Booker (D-NJ),484000,484000,0,Solidly Democrat/Liberal,2018
Building Leadership & Inspiring New Enterprise,Blaine Luetkemeyer (R-Mo),464000,2000,462000,Solidly Republican/Conservative,2018
Turquoise PAC,Ben R Lujan (D-NM),450500,450500,0,Solidly Democrat/Liberal,2018
COLE PAC,Tom Cole (R-Okla),447700,0,447700,Solidly Republican/Conservative,2018
American Possibilities,Ex-VP Joe Biden (D),447446,447446,0,Solidly Democrat/Liberal,2018
Fearless for the People,Kamala D Harris (D-Calif),415000,415000,0,Solidly Democrat/Liberal,2018
Impact (Schumer),Charles E Schumer (D-NY),421000,421000,0,Solidly Democrat/Liberal,2018
Project West PAC,Cory Gardner (R-Colo),430000,0,430000,Solidly Republican/Conservative,2018
Fund for a Conservative Future,James M Inhofe (R-Okla),395000,0,395000,Solidly Republican/Conservative,2018
Democrats Reshaping America,Linda Sanchez (D-Calif),390736,390736,0,Solidly Democrat/Liberal,2018
Committee for a Livable Future,Earl Blumenauer (D-Ore),391500,391500,0,Solidly Democrat/Liberal,2018
Madison PAC (Neal),Richard E Neal (D-Mass),388700,388700,0,Solidly Democrat/Liberal,2018
Common Values PAC,John A Barrasso (R-Wyo),367000,0,367000,Solidly Republican/Conservative,2018
CherPAC,Cheri Bustos (D-Ill),353031,353031,0,Solidly Democrat/Liberal,2018
